Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
22,Lienhuachih,74.083,73.058,75.45,72.933,67.383,73.517,72.683,70.05,70.492,69.583,70.342,64.783,59.267,68.333,68.742,68.683,68.75,67.042,68.533,74.858,63.867,71.425,74.617,74.525,76.058,70.633,69.242,71.125,69.683,68.033,69.667,69.867,71.4,71.508,72.275,71.992,71.558,72.867,71.658,75.242,72.642,70.917,67.083,67.467,69.375,69.033,70.917,73.358,70.533,71.975,69.175,68.117,67.025,65.683,75.258,76.283,73.933,74.192,70.075,74.533,74.367,77.758
23,Nanjenshan,69.975,69.175,71.392,68.25,64.6,70.2,68.942,66.933,66.675,66.617,66.092,61.8,58.042,64.983,65.525,65.783,65.792,63.65,64.975,70.55,65.125,70.092,69.317,71.067,71.658,63.917,63.425,69.442,65.217,63.458,65.633,68.55,67.592,67.683,69.283,69.158,66.783,68.892,67.917,72.642,67.75,67.542,63.792,64.642,64.85,64.783,66.225,69.1,68.133,68.575,66.742,65.033,63.067,62.567,69.842,70.508,68.867,69.492,66.942,68.767,70.775,71.75
24,Zenlun,73.558,72.608,74.933,72.2,67.275,73.258,72.25,69.85,70.05,69.408,69.758,64.617,59.7,68.025,68.475,68.55,68.625,66.75,68.183,74.275,65.108,71.808,73.683,74.2,75.425,69.217,68.117,71.4,69.033,67.667,69.125,70.267,70.95,71.05,72.133,71.9,70.792,72.383,71.25,75.208,71.842,70.642,66.817,67.35,68.708,68.992,70.75,73.342,70.883,72.108,69.608,68.342,66.542,65.5,74.3,75.2,73.083,73.483,69.875,73.458,74,76.592
25,Doi Inthanon,54.158,54.7,57.333,53.117,52.35,53.008,48.5,49.775,51.542,54.408,56.767,52.042,53.55,54.142,55,55.825,55.242,53.55,51.158,58.042,55.7,55.158,55.983,56.908,59.192,54.817,58.8,55.408,54.708,55.283,59.133,55.458,56.558,54.458,56.175,54.283,56.542,55.925,52.917,57.692,55.958,55.183,55.258,55.125,55.025,60.175,54.683,52.917,61.517,57.825,57.4,57.308,51.625,52.975,56.95,53.392,55.217,57.525,47.292,48.45,57.683,54.742
26,Huai Kha Khaeng,55.192,56.725,58.867,53.583,53.975,55.083,52.3,53.142,53.758,56.092,58.658,53.183,55.425,55.775,56.5,57.758,56.875,55.092,56.308,60.658,57.025,57.083,56.55,57.733,62.05,55.55,58.058,59.742,56.2,58.342,60.467,57.992,58.775,58.125,60.292,57.592,59.175,59.842,56.517,58.5,58.675,57.175,57.2,58.05,57.342,62.992,55.7,58.608,65.208,63.125,62.733,61.758,51.85,51.45,59.758,53.417,54.317,58.517,56.733,55.108,60.892,59.867
27,Khao Chong,71.025,71.592,69.825,68.517,69.25,70.333,67.7,68.233,69.492,69.083,70.192,70.133,68.967,69.4,69.55,71.4,71.217,68.1,70.667,71.625,71.6,67.933,71.333,70.217,73.225,71.05,72.008,72.433,71.167,72.642,72.025,72.008,70.292,73.083,72.35,73.95,72.775,75.567,74.425,73.267,73.733,73.15,71.608,72.9,72.467,72.208,71.833,69.4,74.383,72.317,70.717,68.875,72.217,65.958,71.042,70.542,70.7,73.892,72.4,74.2,75.542,72.633
28,Mo Singto,57.7,59.058,60.367,54.125,56.908,58.4,56.092,57.317,58,59.433,61.333,57.217,58.7,60.083,60.942,62.267,60.283,59.467,61.767,63.558,61.508,61.717,60.883,62.217,65.042,60.4,59.467,63.433,58.217,62.008,63.075,62.75,62.975,62.967,64.917,62.942,62.95,64.908,62.158,63.258,62.7,61.433,61.092,62.467,61.858,59.975,56,56.858,66.4,62.133,61.992,61.692,57.358,56,63.742,58.517,59.225,63.6,61.067,61.783,64.942,64.3
29,Haliburton Forest,63.133,62.45,60.933,64.75,59.517,61.217,60.617,60.192,61.442,61.35,63.025,58.108,57.467,62.7,64.867,62.192,63.325,63.183,61.992,60.5,61.525,63.383,63.842,63.742,59.9,62.233,63.875,61.667,65.683,64.058,65.858,63.758,61.817,64.625,63.683,64.475,59.733,62.4,59.033,62.775,60.075,62.142,62.3,61.067,65.567,65.208,62.067,61.492,58.383,61.792,61.708,62.517,64.517,64.333,63.583,66.558,63.85,64.583,64.908,65.017,63.008,63.125
30,Scotty Creek ,61.7,60.917,60.317,58.458,58.067,61.742,59.458,61.592,59.908,62.75,61.533,63.475,61.608,58.15,57.9,57.808,60.883,63.658,60.275,64.183,61.642,60.067,56.817,63.033,60.725,59.9,61.325,61.95,62.192,63.458,61.708,60.483,61.4,60.867,62.092,63.35,62.408,63.25,58.267,60.8,61.983,60.483,60.05,60.367,62.183,61.133,61.033,59.583,61.875,62.033,60.508,60.492,60.867,60.058,61.758,61.45,62.117,60.65,61.125,61.733,60.8,61.025
31,Harvard Forest,65.467,65.683,61.817,66.717,64.133,64.858,63.283,66.558,64.225,65.625,66.133,63.133,60.95,63,63.9,63.8,65.267,64.183,66.808,64.417,65.167,68.7,65.717,66.967,66.5,66.575,66.625,62.975,66.7,66.067,68.025,65.275,63.767,65.575,65.925,66.925,63.758,65.75,65.2,66.35,65.758,64.658,66.683,64.883,63.475,66.542,65.042,66.342,64.342,65.158,65.25,65.333,67.083,67.842,67.725,68.458,66.417,67.333,68.083,67.858,68.5,67.958
