Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
22,Lienhuachih,842.54,815.17,854.71,869.92,839.5,839.5,833.42,851.67,836.46,839.5,833.42,833.42,836.46,851.67,827.33,891.21,860.79,793.87,894.25,876,863.83,757.37,757.38,799.96,769.54,842.54,833.42,845.58,869.92,942.92,891.21,879.04,845.58,863.83,851.67,885.12,848.62,854.71,830.38,757.37,860.79,879.04,888.17,882.08,906.42,921.62,888.17,915.54,924.67,930.75,949,961.17,967.25,1028.1,949,942.92,1019,976.38,970.29,909.46,964.21,891.21
23,Nanjenshan,1161.9,1189.3,1189.3,1277.5,1241,1189.3,1207.5,1228.8,1250.1,1238,1228.8,1253.2,1253.2,1241,1231.9,1262.3,1207.5,1168,1238,1210.6,1247.1,1152.8,1168,1165,1158.9,1253.2,1253.2,1171,1201.5,1298.8,1256.2,1222.8,1219.7,1219.7,1186.2,1165,1195.4,1180.2,1216.7,1125.4,1213.6,1274.5,1274.5,1247.1,1225.8,1241,1219.7,1256.2,1222.8,1259.2,1274.5,1298.8,1335.3,1368.7,1283.6,1311,1353.5,1314,1301.8,1274.5,1298.8,1274.5
24,Zenlun,860.79,848.63,885.13,918.58,885.12,876,876,891.21,888.17,869.92,857.75,888.17,891.21,897.29,866.88,936.83,900.33,836.46,939.88,918.58,897.29,815.17,806.04,845.58,815.17,888.17,872.96,869.92,900.33,982.46,927.71,918.58,891.21,909.46,894.25,894.25,897.29,897.29,876,787.79,888.17,918.58,930.75,924.67,945.96,958.12,921.62,930.75,936.83,952.04,982.46,982.46,1003.7,1067.6,976.38,979.42,1046.3,1009.8,997.67,949,997.67,945.96
25,Doi Inthanon,1152.8,1116.3,1104.1,1149.8,1125.4,1131.5,1204.5,1189.3,1183.2,1149.8,1095,1149.8,1140.6,1131.5,1143.7,1149.8,1131.5,1137.6,1168,1107.2,1098,1137.6,1107.2,1092,1101.1,1119.3,1037.2,1152.8,1189.3,1155.8,1092,1125.4,1155.8,1149.8,1137.6,1152.8,1143.7,1125.4,1143.7,1113.3,1155.8,1158.9,1137.6,1125.4,1146.7,1088.9,1149.8,1207.5,1070.7,1098,1101.1,1098,1134.5,1125.4,1104.1,1116.3,1107.2,1116.3,1213.6,1241,1095,1165
26,Huai Kha Khaeng,1256.2,1225.8,1189.3,1247.1,1204.5,1192.3,1271.4,1259.3,1253.2,1250.1,1183.2,1250.1,1247.1,1219.7,1225.8,1225.8,1210.6,1238,1216.7,1171,1186.2,1234.9,1219.7,1195.4,1158.9,1219.7,1225.8,1213.6,1277.5,1228.8,1152.8,1192.3,1213.6,1192.3,1183.2,1207.5,1210.6,1174.1,1228.8,1219.7,1244,1247.1,1247.1,1213.6,1210.6,1137.6,1225.8,1247.1,1110.2,1155.8,1161.9,1165,1241,1256.2,1183.2,1216.7,1231.9,1168,1195.4,1268.4,1134.5,1198.4
27,Khao Chong,1198.4,1189.3,1219.7,1238,1213.6,1207.5,1253.2,1253.2,1222.8,1216.7,1198.4,1204.5,1231.9,1219.7,1213.6,1204.5,1183.2,1238,1213.6,1192.3,1186.3,1250.1,1210.6,1204.5,1155.8,1207.5,1219.7,1201.5,1222.7,1198.4,1180.2,1195.4,1228.8,1165,1189.3,1171,1216.7,1161.9,1171,1195.4,1192.3,1192.3,1192.3,1186.2,1204.5,1207.5,1225.8,1277.5,1165,1192.3,1231.9,1271.4,1231.9,1301.8,1244,1247.1,1219.7,1192.3,1207.5,1213.6,1177.1,1222.8
28,Mo Singto,1329.2,1295.8,1286.6,1365.7,1317,1298.8,1347.5,1335.3,1329.2,1320.1,1268.4,1326.2,1301.8,1292.7,1289.7,1307.9,1295.8,1329.2,1307.9,1289.7,1268.4,1307.9,1307.9,1265.3,1265.3,1307.9,1338.3,1301.8,1377.9,1301.8,1238,1247.1,1271.4,1262.3,1244,1256.2,1286.6,1247.1,1295.8,1280.5,1320.1,1332.2,1317,1307.9,1304.9,1326.2,1393.1,1408.3,1250.1,1289.7,1295.7,1307.9,1350.5,1371.8,1295.8,1335.3,1338.3,1262.3,1301.8,1326.2,1234.9,1286.6
29,Haliburton Forest,635.71,647.88,647.88,577.92,705.67,590.08,617.46,638.75,629.62,605.29,608.33,653.96,678.29,657,623.54,647.88,620.5,653.96,638.75,632.67,672.21,602.25,626.58,620.5,687.42,632.67,641.79,650.92,617.46,596.17,635.71,629.62,684.37,647.88,669.17,647.88,723.92,736.08,650.92,657,720.88,605.29,641.79,644.83,669.17,596.17,638.75,711.75,733.04,638.75,705.67,657,629.62,559.67,687.42,611.38,614.42,580.96,590.08,663.08,647.88,726.96
30,Scotty Creek ,471.46,492.75,468.42,462.33,477.54,447.12,453.21,474.5,453.21,462.33,474.5,462.33,486.67,480.58,507.96,489.71,501.88,468.42,471.46,480.58,523.17,489.71,550.54,447.13,523.17,538.38,498.83,477.54,495.79,535.33,523.17,480.58,498.83,507.96,495.79,489.71,514.04,483.63,541.42,526.21,514.04,483.63,514.04,559.67,574.88,486.67,480.58,580.96,526.21,477.54,486.67,468.42,517.08,504.92,517.08,514.04,474.5,514.04,483.63,514.04,517.08,547.5
31,Harvard Forest,876,894.25,918.58,833.42,891.21,812.12,924.67,806.04,897.29,857.75,824.29,836.46,900.33,885.12,869.92,876,830.38,863.83,857.75,885.13,888.17,787.79,909.46,888.17,906.42,906.42,915.54,958.13,888.17,967.25,933.79,912.5,915.54,885.12,915.54,885.12,921.62,912.5,903.38,891.21,961.17,863.83,897.29,885.12,869.92,845.58,897.29,918.58,967.25,848.62,927.71,906.42,821.25,882.08,885.13,915.54,964.21,912.5,869.92,1025,909.46,997.67
