Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
21,Kenting,2755,3126.2,3651.8,2731.8,2247.6,2496.6,1994.4,2334,3462.2,1762,2889.9,1555.7,877.5,2082,1473.8,1984.6,2220.7,2819.1,2062.5,2660.9,2466,2201.6,2631.8,4529.2,2394.6,1258.8,2176.6,2412.8,2303.6,1618.4,3045.6,2001.7,2422.4,2154.3,2379,1833.2,2327.1,2619.8,2173,2206.3,2489.3,1968.1,1227.9,2033.1,1976.3,1711.1,2161.8,3143.2,3297.6,2629,2601.7,1839.6,1913.7,1874.9,1742.8,1905.8,1980.4,2255,2208,2341.3,2189.4,2549.4
22,Lienhuachih,2265.9,1973.8,2693.7,1270,2060.5,2467.9,1617.3,1998.1,2460.6,2082.3,1584.9,2054.7,2133.9,1426.1,1859.8,2302,1477.9,2071.3,1848.1,1891.6,1580.2,2827.4,1981.6,2201.5,2419.9,2341.6,2383.4,2303.2,1916.2,1260.3,2347.4,1826.7,2324.2,1643.1,2367.2,1832.1,1756.3,1728.5,1964.4,2368.6,1540.5,2261.5,1325.1,2182.6,1382.5,2121,1924.7,2782,1620.6,2100.2,2214.3,1729.3,1511.3,1939.4,2039.5,1979,1679.9,2289.7,2122.7,2152.6,2042.9,2244.8
23,Nanjenshan,3095.5,3059.1,3318.1,2231.9,2188.4,2476.3,2271.9,2616.6,2787.3,2188.5,2728.5,1938.1,1192.3,1843.6,1707.6,2145,2182.5,2852,1759.1,2211.7,1970.1,2436.2,2829.1,3684.8,2244.9,1938.7,2546.6,2161.1,2045.7,1149.9,2474.9,2042.8,2139.8,2165.1,2488.3,1964.3,1971.3,2593.1,1858.9,2589.2,2403.3,2020.5,1162.6,2293.7,2036.9,1815,2451.8,2789.9,2850.4,2398.8,2608.3,1893.6,1752.2,2003.7,1862.7,2035.1,1755.8,2357.1,2359.9,2263,2143.5,2478.1
24,Zenlun,2761,2118.6,2660.6,1568.2,2126.1,2690,1881.5,2076.8,2388.1,2087.1,1776.9,1751.9,1564.9,1612.1,1653.7,2612.2,1764.9,2946.2,2022.3,2021.3,1865.9,2932.8,2323.4,2384.9,2589.5,2170,2628.5,2208.5,2105.6,1116.7,2244.9,2044.8,2392.1,1809.2,2058.7,1851.1,1802.2,2087.1,2013.3,2519.1,1928.5,2482.5,1402.5,2067.9,1458.7,2088.8,1950.6,2722.5,2003.3,2073.6,2375.9,1815.7,1616.6,2009.9,2022.6,2016.7,1708.8,2348.4,2258.2,2227.4,2160.7,2353.3
25,Doi Inthanon,1369.7,1230.3,1757.6,1096.3,1252.3,1420.9,1192.8,1134.7,1206.3,1385.5,1479.3,1159.5,1250.8,1281.7,1188,1057.5,1343.5,1249.1,1283.3,1494,1450.8,1279.2,1388.9,1271.9,1345,1120.8,1412.2,1284.3,1012,1319.7,1218.3,1015.5,1038.7,1152.4,1357.8,1001.7,1067.2,1348,1044.4,1201.6,1205.9,1110.6,1053.3,1371.2,1254,1267.1,1064.4,826.6,1300.8,1395.8,1293.8,1375.2,977.9,1252.6,1430.4,1432.4,1206.5,1202.6,1157,1149.5,1506,1030.9
26,Huai Kha Khaeng,1683.3,1418.6,1750,1270.6,1641.8,1571.9,1472.9,1129.8,1487.2,1136.1,1741.5,1284.4,1679.7,1417,1528.6,1427.9,1339.4,1143.5,1551.6,1586.9,1363.4,1507.9,1337.6,1831.1,1389.8,1460.7,954.8,1417.7,1039,1293.6,1576.6,1368.3,1388.3,1358.7,1539.3,1039.6,1395.7,1564.2,1038.6,1384.3,1244.9,1160.3,1262.1,1643.7,1554.4,1663.8,1236.7,1114.9,1467.7,1606.8,1531.2,1602.9,1385.7,1193.7,1538.6,1682.4,1546.2,1808,1765.2,1538.5,1904.6,1391.9
27,Khao Chong,3066.1,2336.3,2943.5,2486.6,2073.8,2340.3,2412.2,2150.9,2344.9,2152.5,2233,2377.9,2053.6,2232.5,2633.9,2766.4,2262,1949.3,2256.9,2556,1969.3,1807,2780.2,2191.8,2526,2249.6,1736.2,1795,1834.4,2346.3,1947.6,2338.8,2122.4,2327.9,2226,2142.2,1946.9,2587.7,1813.9,1873.3,2222.4,1810.7,2694.9,2290.5,2257.5,2638.5,2215.7,2262.6,2739.4,2700.6,2398.3,2222.3,2616.3,1902.5,2678.9,2215.5,2421.4,2499.7,2068.4,2709.6,2834.6,2857.8
28,Mo Singto,1623.3,1592.8,1642.8,1605.1,1854.8,1933.8,1968,1740.7,1611.4,1336.6,1935.9,1999.9,1801.6,1609.1,1698.3,2153.8,1573.1,1401,1803.2,2017.4,1695.4,1714,1494.6,1727.3,1656.5,1656.6,1421.7,1505.6,1078.9,1832.9,1497.6,1693.4,1808,1511.7,1645.9,1670.3,1595.2,1995,1382.3,1721.8,1451.1,1231.5,1484.3,1360.8,1699.4,1424.4,1113.7,1455.2,1728.8,1852,1706.7,1555.8,1695.3,1527.3,1649.8,1632.9,1931.6,1932.3,2094.7,2184.1,2484.8,1624.6
29,Haliburton Forest,1267.5,1061.5,1046.6,1128.5,994.4,992.1,1169.7,893.3,1294.8,1012.8,990.9,974.7,920.5,951.5,1203.6,1133.2,1314.6,951.7,1095.2,1074.6,990.7,1201.1,1161.8,1360.8,1108.5,1069.6,1102,1044.1,1177.7,1356.9,1025.4,1247.3,1140.4,1199.7,1233.2,1214.1,1026.1,1083.4,1157.3,1381.8,1267.6,1225.2,1196.6,1117.3,1266.4,1210.8,1096.9,1129.9,1271,1141.7,1171.8,1067.1,1086.6,1095.8,1091.4,1277.5,1126.5,1186.6,1115.6,1141.8,1299.6,1171.6
30,Scotty Creek ,308.8,355.3,270.5,300.4,298,478.4,360.6,386.1,324.6,443.6,355.2,464.3,405.1,353.4,302.6,380.7,254.5,337.3,355.4,385.5,313.6,334,411.1,446.1,359,377.2,324.4,307.8,303.1,320.8,535.4,413.8,290.4,436,375.3,363.2,297.3,554.5,389.6,393,396.3,396.8,276.4,332.6,204.9,415.8,498.1,407.1,423.6,379.2,357.7,321.2,430.8,276.9,347.4,364.3,414.8,403.2,390.7,362.1,383.3,393.5
