Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
24,Zenlun,16.8,17.575,16.742,16.542,16.2,16.583,16.342,16.492,16.808,16.708,16.967,16.342,16.583,16.767,16.392,16.667,16.425,16.283,16.317,16.467,16.275,17.175,17.567,16.967,17.325,15.917,16.833,16.75,16.283,16.433,16.4,16.35,17.1,16.383,16.683,16.333,17.392,17.108,16.575,17.75,17.183,16.108,17.033,17.225,16.417,16.442,16.342,17.475,16.708,16.3,16.492,16.725,16.475,15.733,15.775,16.342,15.975,15.85,16.092,16.358,15.717,16.233
25,Doi Inthanon,21.425,21.975,22.008,21.2,21.075,20.858,21.308,21.658,21.742,21.35,21.85,21.292,21.425,21.783,21.633,22.15,21.6,21.608,21.85,21.767,21.05,21.542,21.983,21.525,21.483,21.083,21.408,21.542,21.442,21.6,21.992,21.658,21.775,21.675,21.625,21.367,22,21.758,20.942,22.042,22.275,21.458,22,22.1,22.175,22.175,21.792,22.575,21.9,21.708,22.442,22.208,22.108,22.05,22.292,22.242,21.975,21.992,22.283,22.758,21.8,22.567
26,Huai Kha Khaeng,24.858,25.258,25.433,24.525,24.4,24.167,25.008,25.217,25.292,25.133,25.275,24.567,24.708,25.175,25.067,25.817,25.15,25.017,25.6,25.15,24.508,25.083,25.475,24.767,24.817,24.25,24.817,25.183,25.392,25.433,25.45,25.025,25.217,25.233,25.025,24.992,25.542,25.133,24.433,25.558,25.833,25.15,25.517,25.775,25.767,25.517,25.65,26.45,25.308,25.542,26.117,26.025,25.825,25.758,26.075,26.117,25.358,25.433,25.717,26.508,25.25,26.442
27,Khao Chong,28.35,28.517,28.042,27.792,27.875,27.725,28.608,28.967,28.967,29.175,28.733,28.483,28.492,28.7,28.375,28.917,28.608,28.533,29.158,29.083,28.325,28.692,29.067,28.325,28.6,27.758,28.417,28.933,29.3,29.15,28.908,28.567,29.133,28.683,28.725,28.758,29.158,29.375,28.617,29.417,29.367,29.383,29.367,29.517,29.417,29.433,29.517,29.942,29.275,29.492,29.4,29.817,29.708,29.842,29.792,29.675,29.458,29.417,29.55,30.175,29.375,29.783
28,Mo Singto,27.025,27.233,27.392,26.617,26.358,26.158,27.125,27.342,27.333,27.517,27.325,26.525,26.658,27.133,27.125,27.992,27.217,27.167,27.808,27.125,26.542,27.15,27.475,26.708,26.983,26.192,26.8,27.333,27.592,27.658,27.358,27.125,27.258,27.042,27.05,27.117,27.625,27.342,26.883,27.817,27.983,27.492,27.567,28.025,27.65,27.425,28.058,28.825,27.383,27.825,28.383,28.433,28.133,27.9,28.267,28.4,27.408,27.425,27.775,28.667,27.225,28.742
29,Haliburton Forest,8.1,8.625,8.875,8.275,8.8,7.9333,8.3667,7.7833,8.6833,8.2167,8.575,7.95,7.8333,8.0333,7.725,7.9083,7.9583,8.2083,8.1417,8.3333,8.125,7.8667,8.9167,7.8083,8.2417,7.7917,8.075,7.6083,8.325,8.0583,8.075,8.225,8.4333,8.325,7.8083,8.2333,8.5333,7.6833,8.05,8.375,8.3,7.6667,7.925,8.2917,7.8833,8.2583,7.7583,8.9083,8.6667,8.1583,8.6667,8.6917,8.2833,8.6667,8.5583,9.25,9.0583,8.7083,8.3,9.0167,9.075,8.7333
30,Scotty Creek ,5.0167,5.2333,5.7917,5.5917,5.2,5.225,5.4833,5.5333,4.7833,5.3083,5.1667,5.4083,5.4333,5.275,5.15,5.0917,5.0167,5.1417,5.1,5.1417,5.1167,4.85,5.125,4.8417,5.2333,5.45,5.25,4.9417,5.225,5.1,5.3,4.9333,4.8083,5.175,4.7667,5.0583,5.3333,5.2333,5.3333,5.0667,5.1417,4.8333,5.325,5.3917,4.8083,5.05,5.7417,5.7917,5.125,5.2083,5.4083,5.05,5.1083,4.975,5.4,5.4833,5.4667,5.325,5.1833,5.4833,5.2667,5.5
31,Harvard Forest,8.95,9.3667,9.65,9.25,9.55,8.9083,9.1,8.8417,9.5333,9.125,9.4833,8.8833,8.75,8.7833,8.7,8.9167,8.975,9.15,9.2667,9.1,9.0333,8.875,9.6417,9.0333,9.5,8.9583,8.9833,8.0583,9.2583,8.25,8.7083,8.5333,9.425,9.4417,8.9917,9.0167,9.0167,9.025,8.9083,9.8417,9.3917,8.7,9.0667,9.225,9.3833,9.4083,8.5,9.5583,9.1667,9.2,9.0667,9.3667,9.575,9.275,9.6,9.6333,8.7417,8.9917,8.875,9.1167,9.625,9.3917
32,Lilly Dickey Woods,11.4,11.558,11.867,11.892,12.033,11.8,11.883,11.125,12.217,11.742,11.425,11.583,11.292,11.65,11.675,11.5,11.433,11.933,11.633,11.95,11.217,10.783,12.292,11.692,12.108,10.475,12.375,11.367,11.558,11.25,11.167,11.358,11.233,11.467,11.533,12.042,11.592,10.392,11.558,12,12.425,11.492,11.833,11.233,11.792,11.858,11.458,13.05,11.808,12.292,12.5,12.8,11.942,12.275,11.817,11.808,11.283,10.758,10.875,11.75,12.058,11.417
33,Santa Cruz,11.183,11.575,11.375,11.558,11.008,11.2,11.933,12.508,12.017,11.683,11.633,11.392,11.75,11.258,11.5,11.7,11.775,11.533,11.808,11.775,11.092,11.633,11.55,11.975,11.608,11.667,11.875,12,11.817,11.775,12.367,11.65,12.675,12.058,11.475,12.1,11.75,11.767,11.692,12.017,11.717,12.317,11.908,12.133,12.492,12.667,12.542,12.117,11.65,11.675,11.925,11.967,12.508,12.517,12.508,12.258,12.342,12.35,12.117,12.058,11.983,12.208
34,SCBI,12.033,12.125,12.392,12.217,12.525,11.983,12.225,11.833,12.783,12.05,12.233,11.542,11.208,11.75,11.65,11.617,11.517,11.867,11.808,12.05,11.708,11.525,12,11.633,11.983,10.575,11.617,11.442,12.342,11.875,11.783,11.625,11.65,12,11.8,11.842,12.183,11.5,12.333,12.758,12.617,11.742,12.342,12.258,11.933,12.342,11,12.217,11.817,12.292,11.892,12.492,12.358,12.375,11.517,11.5,11.2,11.075,11.142,11.083,12.208,11.683
35,SERC,12.325,12.483,12.775,12.558,12.808,12.392,12.617,12.258,12.958,12.375,12.567,11.958,11.633,12.15,11.992,12.025,11.9,12.267,12.308,12.358,12.008,11.9,12.267,11.85,12.367,11.017,11.975,11.592,12.925,12.267,12.5,11.875,12.158,12.392,12.192,12.125,12.475,11.858,12.7,13.058,13.025,12.083,12.975,12.758,12.308,12.875,11.175,12.467,12.217,12.7,12.258,12.792,12.65,12.408,11.583,11.917,11.4,11.475,11.325,11.15,12.525,11.817
36,Tyson Research Center,12.017,12.267,12.633,12.8,12.675,12.617,12.5,11.892,12.567,12.15,11.7,12.033,12.333,12.008,12.467,12.05,11.867,12.333,12.4,12.75,11.75,12.05,12.858,12.367,12.475,10.858,13.058,11.942,11.85,12.642,12.592,12.333,12.033,12.058,12.042,13.042,12.7,11.4,12.175,12.733,13.425,12.3,12.308,12.167,12.525,12.45,12.583,14.142,12.642,12.917,12.967,13.467,12.6,12.442,12.258,12.242,12.242,12.342,12.4,13.2,13,12.525
37,Wabikon Lake Forest,7.375,7.9833,7.9583,7.7,8.0333,7.475,7.4417,7.375,7.8417,7.5583,7.7417,7.5917,7.8083,7.6583,7.3583,7.4667,7.2667,7.8167,7.6,7.9167,7.925,7.325,8.3333,7.3,7.7167,6.85,7.85,7.5333,7.4,7.6083,7.5917,7.4083,8.05,7.675,7.225,7.6833,8.3083,7.4833,6.9333,7.5917,8.1,6.975,7.2583,7.6167,7.8917,7.7167,7.8583,8.4917,8.2583,8.25,8.85,8.575,8.2333,7.9167,8.4667,8.1417,8.1167,7.4833,7.3,8.5833,8.425,8.5
38,Wind River,7.6583,7.75,8.5,8.1,7.5583,7.8583,8.25,9.0167,8.225,8.1417,8.4083,8.25,8.525,7.875,8.1667,8.1833,8.2083,8.1167,8.2667,7.8,7.5917,7.7083,7.5583,7.8667,7.6417,7.875,7.8917,8.275,8.275,8.3833,8.75,7.9417,8.4667,7.8167,7.2,8.45,8.125,8.2,8.2583,8.5917,8.425,8.8917,8.4,8.5,8.825,8.3417,9.0417,9.3,8.3833,7.2,6.8417,7.475,8.0667,8.9167,8.1417,7.7833,7.9833,7.8,7.8917,8.4,7.9833,8.175
39,Yosemite National Park,5.825,6.375,6.2417,6.425,5.7417,5.95,6.4,7.0417,6.6833,6.275,6.3833,6.125,6.4083,5.9417,6.1667,6.4083,6.4667,6.15,6.65,6.5,5.875,6.3,6.0667,6.6167,6.2333,6.3583,6.375,6.6917,6.4917,6.425,7.1083,6.325,7.0417,6.7583,6.05,6.75,6.35,6.4167,6.3,6.6917,6.3667,6.8583,6.4333,6.875,7.1333,7.275,7.1667,6.9333,6.3833,6.325,6.5667,6.4833,7.15,7.35,7,7.05,7.0167,6.9333,6.95,6.8583,6.8,7.025
40,Ilha do Cardoso,18.017,18.942,18.842,19.183,18.608,19.158,19.367,20.183,20.4,19.417,20.4,19.158,20.25,19.192,19.942,20.292,20.042,18.783,20.158,19.742,19.567,19.917,20.492,19.183,19.233,19.158,20.483,19.75,19.283,19.667,19.45,19.825,20.208,20.633,20.283,20.592,20.217,20.208,20.033,20.767,20.458,19.875,20.058,20.183,20.708,20.45,20.675,20.892,20.117,20.158,21.333,21.75,20.975,20.383,21.008,20.742,21.183,20.467,21.133,20.967,20.958,21.408
41,Manaus,29.467,29.6,29.758,29.825,29,28.558,29.883,30.625,29.717,28.717,29.592,29.608,29.917,30.242,29.967,30.467,29.767,29.592,30.483,30.375,29.092,29.933,29.867,28.925,28.833,29.358,29.158,29.108,29.542,29.583,29.208,29.55,30.008,29.05,29.225,29.542,30.642,30.067,29.433,30.442,30.242,29.75,29.525,29.433,30.575,30.492,30.442,30.567,29.425,29.6,30.333,30.458,30.65,30.608,30.733,30.65,30.492,30.417,30.975,30.983,31.067,31
42,Amacayacu,29.3,28.958,29.5,29.033,28.983,28.8,29.375,30.058,29.442,29.125,30.042,30.167,30.625,30.208,30.242,30.817,30.058,29.875,30.508,30.367,29.617,30.625,29.95,28.658,28.758,28.95,29.192,29.342,29.492,29.667,29.275,29.7,30.033,29.425,29.308,29,30.5,30.183,29.275,30.092,30.175,29.658,29.125,29.267,30.358,30.017,30.283,30.625,29.2,30.15,29.95,30.575,30.833,30.567,30.8,30.392,30.367,30.175,30.758,30.792,30.458,30.417
43,La Planada,15.05,14.4,14.358,13.742,13.8,14.017,15.025,15.375,14.692,14.192,14.2,14.233,14.858,14.3,14.692,14.808,14.258,14.183,15.117,14.467,14.092,15.575,15.067,14.075,14.025,14.4,14.775,14.808,15.3,15.325,15.375,15.892,15.95,14.708,14.575,15.242,15.683,15.508,15.267,15.75,15.683,15.675,15.375,15.425,15.783,15.358,16.383,16.533,14.433,14.558,14.942,15.8,15.708,15.733,15.85,15.7,15.158,14.875,15.458,15.608,15.342,15.808
44,Yasuni,25.642,25.075,25.175,24.7,24.742,24.742,25.608,26.058,25.617,25.308,25.517,25.55,26.017,25.475,25.717,25.825,25.442,25.317,26.025,25.658,25.183,26.55,25.942,24.967,24.892,25.117,25.517,25.4,26.05,26.192,26.358,26.708,26.775,25.442,25.342,26,26.542,26.383,25.917,26.45,26.467,26.3,25.792,26.017,26.567,25.892,27.083,27.325,25.275,25.642,25.592,26.542,26.658,26.475,26.592,26.367,25.933,25.783,26.317,26.75,26.283,26.55
45,Barro Colorado Island,28.858,28.525,27.975,27.467,27.475,28.108,28.8,28.783,27.592,28.058,27.783,27.35,28.175,27.442,27.575,28.675,27.708,28.15,28.95,28.167,27.458,28.9,28.775,27.842,27.508,28.092,28.758,29.225,29.225,29.25,29.133,29.342,29.867,28.65,28.975,28.983,29.867,29.217,28.992,29.492,29.525,29.45,29.533,29.492,29.442,29.758,30.15,30.717,28.458,28.442,29.233,29.933,30.2,29.983,30.092,30.45,29.667,29.142,29.65,29.583,29.567,29.617
46,Cocoli,28.65,28.242,27.792,27.2,27.242,27.95,28.6,28.592,27.442,27.825,27.492,27.125,27.9,27.217,27.408,28.483,27.475,27.892,28.725,27.933,27.233,28.675,28.542,27.583,27.242,27.842,28.5,28.967,29,29.008,28.892,29.117,29.725,28.392,28.742,28.758,29.633,29,28.767,29.392,29.317,29.233,29.3,29.275,29.217,29.5,29.942,30.425,28.192,28.158,29.008,29.675,29.942,29.725,29.775,30.167,29.383,28.883,29.442,29.333,29.317,29.383
47,San Lorenzo/ Sherman,28.858,28.525,27.975,27.467,27.475,28.108,28.8,28.783,27.592,28.058,27.783,27.35,28.175,27.442,27.575,28.675,27.708,28.15,28.95,28.167,27.458,28.9,28.775,27.842,27.508,28.092,28.758,29.225,29.225,29.25,29.133,29.342,29.867,28.65,28.975,28.983,29.867,29.217,28.992,29.492,29.525,29.45,29.533,29.492,29.442,29.758,30.15,30.717,28.458,28.442,29.233,29.933,30.2,29.983,30.092,30.45,29.667,29.142,29.65,29.583,29.567,29.617
48,Luquillo,27.017,27.075,27.008,26.883,27.292,27.15,27.558,28.467,27.825,28.117,27.85,27.425,27.867,28.275,27.925,28.242,27.583,27.542,28.067,27.692,27.283,28.15,27.867,27.7,27.408,27.542,27.3,28.092,28.192,28.942,28.592,28.025,28.817,27.617,27.25,27.158,28.733,28.617,27.417,28.325,28.608,28.75,28.525,28.692,28.567,28.108,28.358,29.233,28.575,27.625,28.542,28.625,28.825,27.983,28.45,28.175,28.583,28.108,28.558,28.642,27.967,28.825
