Site,AnTMP.mean,AnTMP.sd,AnPRE.mean,AnPRE.sd
"Mudumalai",24.0313099293482,0.434885356385996,1107.56573401785,186.32122878418
"Nanjenshan",23.2340480077835,0.384124771868105,2197.66289487566,359.349819009384
"Ngel_Nyaki",23.9122622853234,0.285237006322908,1600.10002584404,133.003639636227
"Niobara",9.53682325104607,0.879761194101148,560.363704901181,123.527344370652
"Nonggang",22.3938098873411,0.390220319367498,1338.37288000584,157.35692338836
"Ordway-Swisher",20.9449360829352,0.599354350361001,1336.40389337096,178.701687319844
"Palamanui",17.4632146665028,0.486898626794648,1595.08859676634,338.906078313281
"Palanan",25.022381348837,0.329456739904182,2615.31432507379,417.570174860896
"Pasoh",25.9075003805615,0.493400775164216,1937.85717714173,210.048181227505
"Rabi",26.0989289647057,0.298395201983637,1962.8257463187,242.672750703517
"San_Lorenzo",26.1760718254816,0.350783908985355,2896.34719349997,65.9394540855361
"Santa_Cruz",14.2828137075509,0.630781972571926,1259.12453590257,417.32127046389
"Scotty_Creek",-3.07226197473883,1.09931976385461,373.310006526538,56.4933125499879
"Sinharaja",26.6919051283882,0.417342359145094,2695.38432549919,451.590092746237
"Smithsonian_Conservation_Biology_Institute",11.7280852066298,0.650881019535718,1083.0731518973,179.89701074461
"Smithsonian_Environmental_Research_Center",13.6307420432347,0.660103859441171,1114.93080142708,188.301819771621
"Speulderbos",9.70750018389275,0.845963663404336,781.405727812222,109.331884538493
"Tiantongshan",16.7164288637184,0.472809346425273,1434.68717043591,196.072340712395
"Traunstein",5.78797628794397,0.811925069623844,1402.70145195212,156.568722458856
"Tyson_Research_Center",13.4500411236309,0.810673473074243,1038.97375581302,208.324099242968
"University_of_Maryland,_Baltimore_County",13.5303299150584,0.657734363454563,1127.24631942134,194.755330882612
"Utah_Forest_Dynamics_Plot",2.50377246087065,0.796162983266549,841.51690784558,210.582368296653
"Wabikon",4.75422920474745,0.858765029552178,813.327003425667,123.99285402362
"Wanang",26.3136908236004,0.186776172207685,3394.62432749612,238.483747718402
"Wind_River",8.87991245525129,0.729729184352258,2419.95514638462,443.071217426881
"Wytham_Woods",9.98309541049281,0.619412170972044,676.841440742356,93.6710244716927
"Xishuangbanna",20.9029765333448,0.434604327703989,1400.27430934033,143.915422450746
"Yasuni",26.0478575184232,0.369305080606842,3332.66719959804,297.124123539304
"Yosemite_National_Park",9.76818383534097,0.882521711776839,1020.8334707067,335.090692196119
"Zofin",8.31988110731223,0.832248441427553,730.824299877882,83.567575218832
