"","Group.1","x"
"367",2012-04-28,2.883852
"368",2012-04-29,4.179129
"369",2012-04-30,6.408253
"370",2012-05-01,14.52528
"371",2012-05-02,16.96803
"372",2012-05-03,14.96216
"373",2012-05-04,16.70835
"374",2012-05-05,15.69921
"375",2012-05-06,16.3671
"376",2012-05-07,14.76089
"377",2012-05-08,13.88956
"378",2012-05-09,12.88431
"379",2012-05-10,8.267678
"380",2012-05-11,4.203882
"381",2012-05-12,7.986184
"382",2012-05-13,12.83183
"383",2012-05-14,15.98595
"384",2012-05-15,17.25817
"385",2012-05-16,14.76925
"386",2012-05-17,9.934694
"387",2012-05-18,6.937482
"388",2012-05-19,9.449389
"389",2012-05-20,12.30911
"390",2012-05-21,17.73842
"391",2012-05-22,17.44197
"392",2012-05-23,14.56796
"393",2012-05-24,15.22652
"394",2012-05-25,18.30903
"395",2012-05-26,18.33558
"396",2012-05-27,19.5909
"397",2012-05-28,17.55654
"398",2012-05-29,20.09323
"399",2012-05-30,16.07658
"400",2012-05-31,14.07878
"401",2012-06-01,16.9655
"402",2012-06-02,10.61331
"403",2012-06-03,9.644131
"404",2012-06-04,12.0088
"405",2012-06-05,12.12178
"406",2012-06-06,11.86374
"407",2012-06-07,11.37837
"408",2012-06-08,11.0613
"409",2012-06-09,14.46306
"410",2012-06-10,15.73275
"411",2012-06-11,16.75759
"412",2012-06-12,18.61526
"413",2012-06-13,13.3906
"414",2012-06-14,11.58382
"415",2012-06-15,14.8385
"416",2012-06-16,13.9747
"417",2012-06-17,13.08897
"418",2012-06-18,15.60299
"419",2012-06-19,18.39396
"420",2012-06-20,19.98204
"421",2012-06-21,20.75463
"422",2012-06-22,20.06243
"423",2012-06-23,17.06574
"424",2012-06-24,15.33357
"425",2012-06-25,15.88189
"426",2012-06-26,9.478937
"427",2012-06-27,12.02147
"428",2012-06-28,15.9764
"429",2012-06-29,20.69804
"430",2012-06-30,17.5167
"431",2012-07-01,20.69763
"432",2012-07-02,18.35375
"433",2012-07-03,19.13016
"434",2012-07-04,19.203
"435",2012-07-05,20.99509
"436",2012-07-06,21.52711
"437",2012-07-07,22.74417
"438",2012-07-08,22.36947
"439",2012-07-09,20.59993
"440",2012-07-10,17.8166
"441",2012-07-11,18.64754
"442",2012-07-12,17.33765
"443",2012-07-13,18.77613
"444",2012-07-14,19.66811
"445",2012-07-15,21.24982
"446",2012-07-16,20.30698
"447",2012-07-17,20.47707
"448",2012-07-18,21.86446
"449",2012-07-19,20.75013
"450",2012-07-20,20.50312
"451",2012-07-21,17.89269
"452",2012-07-22,17.87194
"453",2012-07-23,20.89295
"454",2012-07-24,20.69763
"455",2012-07-25,17.11607
"456",2012-07-26,19.62335
"457",2012-07-27,20.33465
"458",2012-07-28,19.13504
"459",2012-07-29,17.42636
"460",2012-07-30,17.52362
"461",2012-07-31,19.28642
"462",2012-08-01,17.47479
"463",2012-08-02,19.13504
"464",2012-08-03,21.23477
"465",2012-08-04,22.87244
"466",2012-08-05,23.13316
"467",2012-08-06,21.26041
"468",2012-08-07,20.20932
"469",2012-08-08,20.50964
"470",2012-08-09,18.80054
"471",2012-08-10,19.91512
"472",2012-08-11,18.22638
"473",2012-08-12,14.8428
"474",2012-08-13,15.52493
"475",2012-08-14,19.72101
"476",2012-08-15,17.08633
"477",2012-08-16,15.67579
"478",2012-08-17,16.61678
"479",2012-08-18,15.76975
"480",2012-08-19,16.8409
"481",2012-08-20,15.6783
"482",2012-08-21,15.00057
"483",2012-08-22,14.07178
"484",2012-08-23,15.82993
"485",2012-08-24,16.9487
"486",2012-08-25,18.69559
"487",2012-08-26,19.28153
"488",2012-08-27,19.20668
"489",2012-08-28,17.26277
"490",2012-08-29,15.43271
"491",2012-08-30,14.89503
"492",2012-08-31,18.69312
"493",2012-09-01,20.90679
"494",2012-09-02,21.67426
"495",2012-09-03,21.74791
"496",2012-09-04,21.80895
"497",2012-09-05,22.09136
"498",2012-09-06,22.02462
"499",2012-09-07,19.67218
"500",2012-09-08,15.01385
"501",2012-09-09,11.53419
"502",2012-09-10,10.36398
"503",2012-09-11,8.567169
"504",2012-09-12,10.70822
"505",2012-09-13,12.70669
"506",2012-09-14,11.58726
"507",2012-09-15,11.67998
"508",2012-09-16,10.40657
"509",2012-09-17,11.14298
"510",2012-09-18,15.94926
"511",2012-09-19,8.942293
"512",2012-09-20,7.920752
"513",2012-09-21,12.50962
"514",2012-09-22,13.6244
"515",2012-09-23,6.538682
"516",2012-09-24,6.269781
"517",2012-09-25,6.74893
"518",2012-09-26,13.09128
"519",2012-09-27,15.94161
"520",2012-09-28,14.56572
"521",2012-09-29,9.705272
"522",2012-09-30,8.41342
"523",2012-10-01,7.536071
"524",2012-10-02,14.63825
"525",2012-10-03,16.31952
"526",2012-10-04,13.77118
"527",2012-10-05,12.9132
"528",2012-10-06,7.710755
"529",2012-10-07,5.957782
"530",2012-10-08,3.010763
"531",2012-10-09,5.027621
"532",2012-10-10,6.989926
"533",2012-10-11,2.353879
"534",2012-10-12,3.214599
"535",2012-10-13,0.05757976
"536",2012-10-14,9.074331
"537",2012-10-15,9.397367
"538",2012-10-16,6.273901
"539",2012-10-17,4.152254
"540",2012-10-18,9.499014
"541",2012-10-19,10.08113
"542",2012-10-20,6.317417
"543",2012-10-21,4.544359
"544",2012-10-22,4.643617
"545",2012-10-23,11.54485
"546",2012-10-24,13.87729
"547",2012-10-25,12.84811
"548",2012-10-26,14.69268
"549",2012-10-27,13.34029
"550",2012-10-28,10.19784
"551",2012-10-29,4.801043
"552",2012-10-30,3.750718
"553",2012-10-31,3.177958
"554",2012-11-01,2.883044
"555",2012-11-02,0.8442965
"556",2012-11-03,3.453761
"557",2012-11-04,0.527158
"558",2012-11-05,-1.3883
"559",2012-11-06,-2.839728
"560",2012-11-07,0.5051137
"561",2012-11-08,-1.72953
"562",2012-11-09,-0.6827629
"563",2012-11-10,1.61382
"564",2012-11-11,4.813247
"565",2012-11-12,11.04766
"566",2012-11-13,-2.001693
"567",2012-11-14,-2.678691
"568",2012-11-15,-1.88549
"569",2012-11-16,-1.446557
"570",2012-11-17,-1.841951
"571",2012-11-18,-0.8470136
"572",2012-11-19,1.104399
"573",2012-11-20,-0.02195614
"574",2012-11-21,-0.222326
"575",2012-11-22,-0.4808103
"576",2012-11-23,1.629325
"577",2012-11-24,-0.1945813
"578",2012-11-25,-1.532313
"579",2012-11-26,-1.391998
"580",2012-11-27,1.616723
"581",2012-11-28,-1.95996
"582",2012-11-29,-2.505233
"583",2012-11-30,-2.090986
"584",2012-12-01,-1.322461
"585",2012-12-02,1.493459
"586",2012-12-03,9.59666
"587",2012-12-04,10.62216
"588",2012-12-05,2.150597
"589",2012-12-06,-4.857669
"590",2012-12-07,2.079646
"591",2012-12-08,2.982364
"592",2012-12-09,8.864836
"593",2012-12-10,8.928303
"594",2012-12-11,-0.6620003
"595",2012-12-12,-0.9419104
"596",2012-12-13,-3.903029
"597",2012-12-14,-3.399573
"598",2012-12-15,0.8592734
"599",2012-12-16,4.843341
"600",2012-12-17,4.061093
"601",2012-12-18,2.485672
"602",2012-12-19,-0.2829674
"603",2012-12-20,1.412502
"604",2012-12-21,1.503512
"605",2012-12-22,-4.082878
"606",2012-12-23,-5.450109
"607",2012-12-24,-2.055316
"608",2012-12-25,-0.9712625
"609",2012-12-26,-0.7658454
"610",2012-12-27,-0.6286753
"611",2012-12-28,-2.205643
"612",2012-12-29,0.0905129
"613",2012-12-30,-5.230767
"614",2012-12-31,-5.864638
"615",2013-01-01,1.736374
"616",2013-01-02,-3.127836
"617",2013-01-03,-6.524441
"618",2013-01-04,-4.938649
"619",2013-01-05,-5.157617
"620",2013-01-06,-1.979187
"621",2013-01-07,-0.9989486
"622",2013-01-08,-2.438669
"623",2013-01-09,-0.2642663
"624",2013-01-10,1.100975
"625",2013-01-11,3.364739
"626",2013-01-12,3.082429
"627",2013-01-13,7.889775
"628",2013-01-14,3.958993
"629",2013-01-15,2.271233
"630",2013-01-16,1.03623
"631",2013-01-17,1.052564
"632",2013-01-18,-2.276216
"633",2013-01-19,-2.907608
"634",2013-01-20,-1.666306
"635",2013-01-21,-3.673116
"636",2013-01-22,-12.42922
"637",2013-01-23,-13.28806
"638",2013-01-24,-12.6498
"639",2013-01-25,-12.6502
"640",2013-01-26,-6.376318
"641",2013-01-27,-5.270609
"642",2013-01-28,-0.9968279
"643",2013-01-29,8.046328
"644",2013-01-30,11.74489
"645",2013-01-31,-1.352717
"646",2013-02-01,-10.57901
"647",2013-02-02,-11.42882
"648",2013-02-03,-3.86377
"649",2013-02-04,-8.091096
"650",2013-02-05,-2.757631
"651",2013-02-06,-3.362628
"652",2013-02-07,-3.888793
"653",2013-02-08,0.008351044
"654",2013-02-09,-4.963884
"655",2013-02-10,-6.646923
"656",2013-02-11,1.689188
"657",2013-02-12,1.329924
"658",2013-02-13,-1.395102
"659",2013-02-14,-3.313387
"660",2013-02-15,0.5164301
"661",2013-02-16,-3.217757
"662",2013-02-17,-6.720977
"663",2013-02-18,-9.797342
"664",2013-02-19,1.835639
"665",2013-02-20,-4.961711
"666",2013-02-21,-7.19017
"667",2013-02-22,-3.863143
"668",2013-02-23,-0.3460335
"669",2013-02-24,-0.8148696
