"year","sites.sitename","emission_units","emission_type","value"
"1752","Speulderbos","kg m-2 s-1","NOx",9.74622336808384e-12
"1752","Tiantongshan","kg m-2 s-1","NOx",3.78747340531083e-12
"1752","Traunstein","kg m-2 s-1","NOx",1.80775753998923e-12
"1752","Tyson_Research_Center","kg m-2 s-1","NOx",2.90928834300284e-13
"1752","University_of_Maryland,_Baltimore_County","kg m-2 s-1","NOx",2.56151595966338e-12
"1752","Utah_Forest_Dynamics_Plot","kg m-2 s-1","NOx",1.21628645630978e-14
"1752","Wabikon","kg m-2 s-1","NOx",5.72840669596052e-15
"1752","Wanang","kg m-2 s-1","NOx",2.10204127231733e-14
"1752","Wind_River","kg m-2 s-1","NOx",2.07741707824602e-14
"1752","Wytham_Woods","kg m-2 s-1","NOx",2.09064164702452e-11
"1752","Xishuangbanna","kg m-2 s-1","NOx",2.09260693252993e-13
"1752","Yasuni","kg m-2 s-1","NOx",2.23393361669279e-14
"1752","Yosemite_National_Park","kg m-2 s-1","NOx",7.47839987475986e-15
"1752","Zofin","kg m-2 s-1","NOx",2.00337854046665e-12
"1753","Amacayacu","kg m-2 s-1","NOx",8.82345732296486e-15
"1753","Badagongshan","kg m-2 s-1","NOx",1.01149060610336e-12
"1753","Baishanzu","kg m-2 s-1","NOx",2.8334492523056e-13
"1753","Baotianman","kg m-2 s-1","NOx",1.35936813360133e-12
"1753","Barro_Colorado_Island","kg m-2 s-1","NOx",9.63161719129445e-14
"1753","Bidoup","kg m-2 s-1","NOx",4.48402176256606e-13
"1753","Bukit_Timah","kg m-2 s-1","NOx",1.00722326258542e-12
"1753","Changbaishan","kg m-2 s-1","NOx",4.27220524565054e-13
"1753","Cocoli","kg m-2 s-1","NOx",1.3462851899704e-13
"1753","Danum_Valley","kg m-2 s-1","NOx",1.29077195133232e-14
"1753","Daxinganling","kg m-2 s-1","NOx",6.73874000622877e-14
"1753","Dinghushan","kg m-2 s-1","NOx",3.10181412754287e-12
"1753","Doi_Inthanon","kg m-2 s-1","NOx",1.69503533642222e-13
"1753","Donglingshan","kg m-2 s-1","NOx",3.65994088825933e-13
"1753","Fushan","kg m-2 s-1","NOx",5.66022240267917e-13
"1753","Gutianshan","kg m-2 s-1","NOx",8.29177546936288e-13
"1753","Haliburton","kg m-2 s-1","NOx",3.12947511575277e-14
