"sites.sitename","variable","Yr","Mo","Value","N.Obs"
"Amacayacu","pre",1936,12,260,1
"Amacayacu","pre",1937,1,424.6,2
"Amacayacu","pre",1937,2,152.3,1
"Amacayacu","pre",1937,3,353.7,1
"Amacayacu","pre",1937,4,316.5,2
"Amacayacu","pre",1937,5,294.2,1
"Amacayacu","pre",1937,6,210.1,1
"Amacayacu","pre",1937,7,97.7,1
"Amacayacu","pre",1937,8,165.9,1
"Amacayacu","pre",1937,9,254.1,1
"Amacayacu","pre",1937,10,129.7,2
"Amacayacu","pre",1937,11,97.3,1
"Amacayacu","pre",1937,12,280.7,0
"Amacayacu","pre",1938,1,356.4,1
"Amacayacu","pre",1938,2,283.3,0
"Amacayacu","pre",1938,3,344.5,0
"Amacayacu","pre",1938,4,314.5,1
"Amacayacu","pre",1938,5,293,1
"Amacayacu","pre",1938,6,218.3,0
"Amacayacu","pre",1938,7,169,1
"Amacayacu","pre",1938,8,239.8,1
"Amacayacu","pre",1938,9,199.7,1
"Amacayacu","pre",1938,10,240.8,2
"Amacayacu","pre",1938,11,292.9,1
"Amacayacu","pre",1938,12,360.7,1
"Amacayacu","pre",1939,1,362.5,2
"Amacayacu","pre",1939,2,239.4,1
"Amacayacu","pre",1939,3,447.7,2
"Amacayacu","pre",1939,4,447.8,2
"Amacayacu","pre",1939,5,245.6,1
"Amacayacu","pre",1939,6,167.2,1
"Amacayacu","pre",1939,7,202.1,2
"Amacayacu","pre",1939,8,201.7,1
"Amacayacu","pre",1939,9,283.4,1
"Amacayacu","pre",1939,10,173.6,2
"Amacayacu","pre",1939,11,301.4,1
"Amacayacu","pre",1939,12,410.8,1
"Amacayacu","pre",1940,1,516.2,2
"Amacayacu","pre",1940,2,307.8,1
"Amacayacu","pre",1940,3,247.7,2
"Amacayacu","pre",1940,4,331,2
"Amacayacu","pre",1940,5,184.1,1
"Amacayacu","pre",1940,6,524.2,1
"Amacayacu","pre",1940,7,158.3,2
"Amacayacu","pre",1940,8,172.5,1
"Amacayacu","pre",1940,9,471.1,1
"Amacayacu","pre",1940,10,323.2,2
"Amacayacu","pre",1940,11,374.2,1
"Amacayacu","pre",1940,12,466,1
"Amacayacu","pre",1941,1,524.1,2
"Amacayacu","pre",1941,2,272.3,1
"Amacayacu","pre",1941,3,381,2
"Amacayacu","pre",1941,4,288,2
"Amacayacu","pre",1941,5,176.7,1
"Amacayacu","pre",1941,6,226.2,1
"Amacayacu","pre",1941,7,166.6,2
"Amacayacu","pre",1941,8,141.9,1
"Amacayacu","pre",1941,9,165.1,1
"Amacayacu","pre",1941,10,277.1,2
"Amacayacu","pre",1941,11,208.6,1
"Amacayacu","pre",1941,12,398.2,1
"Amacayacu","pre",1942,1,281.9,2
"Amacayacu","pre",1942,2,197.8,1
"Amacayacu","pre",1942,3,425.1,2
"Amacayacu","pre",1942,4,232.8,2
"Amacayacu","pre",1942,5,160.3,1
"Amacayacu","pre",1942,6,139.4,1
"Amacayacu","pre",1942,7,89.1,2
"Amacayacu","pre",1942,8,160,1
"Amacayacu","pre",1942,9,230.9,1
"Amacayacu","pre",1942,10,134.2,2
"Amacayacu","pre",1942,11,176.7,1
"Amacayacu","pre",1942,12,86,1
"Amacayacu","pre",1943,1,401.8,2
"Amacayacu","pre",1943,2,279,1
"Amacayacu","pre",1943,3,282.6,2
"Amacayacu","pre",1943,4,498.3,2
"Amacayacu","pre",1943,5,223.4,1
"Amacayacu","pre",1943,6,300.7,1
"Amacayacu","pre",1943,7,170.2,2
"Amacayacu","pre",1943,8,111.5,1
"Amacayacu","pre",1943,9,159.6,1
"Amacayacu","pre",1943,10,276.3,2
"Amacayacu","pre",1943,11,193.8,1
"Amacayacu","pre",1943,12,324.2,1
"Amacayacu","pre",1944,1,422.8,2
"Amacayacu","pre",1944,2,331,1
"Amacayacu","pre",1944,3,384.4,2
"Amacayacu","pre",1944,4,381.1,2
"Amacayacu","pre",1944,5,406.6,1
"Amacayacu","pre",1944,6,314.6,1
"Amacayacu","pre",1944,7,29.7,2
"Amacayacu","pre",1944,8,161.4,1
"Amacayacu","pre",1944,9,416.5,1
"Amacayacu","pre",1944,10,205.8,2
"Amacayacu","pre",1944,11,249.5,1
"Amacayacu","pre",1944,12,319.8,1
"Amacayacu","pre",1945,1,338.7,2
"Amacayacu","pre",1945,2,136.7,1
"Amacayacu","pre",1945,3,475.3,2
"Amacayacu","pre",1945,4,328.7,2
"Amacayacu","pre",1945,5,269.2,1
"Amacayacu","pre",1945,6,233.6,1
"Amacayacu","pre",1945,7,174.7,2
"Amacayacu","pre",1945,8,36.7,1
"Amacayacu","pre",1945,9,334,1
"Amacayacu","pre",1945,10,196.7,2
"Amacayacu","pre",1945,11,351.8,1
"Amacayacu","pre",1945,12,207.9,1
"Amacayacu","pre",1946,1,357.5,2
"Amacayacu","pre",1946,2,211,1
"Amacayacu","pre",1946,3,341,2
"Amacayacu","pre",1946,4,315.5,2
"Amacayacu","pre",1946,5,328.7,1
"Amacayacu","pre",1946,6,249.6,1
"Amacayacu","pre",1946,7,170.2,2
"Amacayacu","pre",1946,8,131.2,1
"Amacayacu","pre",1946,9,165.1,1
"Amacayacu","pre",1946,10,114.4,2
"Amacayacu","pre",1946,11,302,1
"Amacayacu","pre",1946,12,284.6,1
"Amacayacu","pre",1947,1,266.7,2
"Amacayacu","pre",1947,2,349.6,1
"Amacayacu","pre",1947,3,237.6,2
"Amacayacu","pre",1947,4,307.3,2
"Amacayacu","pre",1947,5,240.1,1
"Amacayacu","pre",1947,6,250.2,1
"Amacayacu","pre",1947,7,61.9,2
"Amacayacu","pre",1947,8,169.9,2
"Amacayacu","pre",1947,9,152.1,1
"Amacayacu","pre",1947,10,198.3,2
"Amacayacu","pre",1947,11,237.2,1
"Amacayacu","pre",1947,12,383.4,1
"Amacayacu","pre",1948,1,619.9,2
"Amacayacu","pre",1948,2,275.1,1
"Amacayacu","pre",1948,3,505.5,2
"Amacayacu","pre",1948,4,363,2
"Amacayacu","pre",1948,5,224.4,2
"Amacayacu","pre",1948,6,185.7,2
"Amacayacu","pre",1948,7,94.2,3
"Amacayacu","pre",1948,8,61.7,2
"Amacayacu","pre",1948,9,234.8,2
"Amacayacu","pre",1948,10,342.1,3
"Amacayacu","pre",1948,11,170.6,2
"Amacayacu","pre",1948,12,276.7,1
"Amacayacu","pre",1949,1,362.9,3
"Amacayacu","pre",1949,2,323.6,1
"Amacayacu","pre",1949,3,359.1,3
"Amacayacu","pre",1949,4,509.8,3
"Amacayacu","pre",1949,5,286.7,2
"Amacayacu","pre",1949,6,398.3,1
"Amacayacu","pre",1949,7,210.3,3
"Amacayacu","pre",1949,8,150.1,1
"Amacayacu","pre",1949,9,207.6,2
"Amacayacu","pre",1949,10,244.2,3
"Amacayacu","pre",1949,11,186.7,2
"Amacayacu","pre",1949,12,93.9,2
"Amacayacu","pre",1950,1,191.9,3
"Amacayacu","pre",1950,2,295.4,2
"Amacayacu","pre",1950,3,461.8,3
"Amacayacu","pre",1950,4,208.3,3
"Amacayacu","pre",1950,5,388.6,2
"Amacayacu","pre",1950,6,180.9,2
"Amacayacu","pre",1950,7,270.3,3
"Amacayacu","pre",1950,8,94.7,2
"Amacayacu","pre",1950,9,96.3,2
"Amacayacu","pre",1950,10,161.3,2
"Amacayacu","pre",1950,11,227.5,2
"Amacayacu","pre",1950,12,289.1,2
"Amacayacu","pre",1951,1,288.1,2
"Amacayacu","pre",1951,2,353.3,2
"Amacayacu","pre",1951,3,321.1,3
"Amacayacu","pre",1951,4,533.9,3
"Amacayacu","pre",1951,5,405.5,2
"Amacayacu","pre",1951,6,107.7,2
"Amacayacu","pre",1951,7,67.7,2
"Amacayacu","pre",1951,8,198.5,2
"Amacayacu","pre",1951,9,192.7,2
"Amacayacu","pre",1951,10,201.8,2
"Amacayacu","pre",1951,11,160,2
"Amacayacu","pre",1951,12,220.9,2
"Amacayacu","pre",1952,1,394.2,2
"Amacayacu","pre",1952,2,379.5,2
"Amacayacu","pre",1952,3,362.8,3
"Amacayacu","pre",1952,4,350.9,3
"Amacayacu","pre",1952,5,257.9,2
"Amacayacu","pre",1952,6,206.7,2
"Amacayacu","pre",1952,7,49.2,3
"Amacayacu","pre",1952,8,231.2,2
"Amacayacu","pre",1952,9,209,2
"Amacayacu","pre",1952,10,203.7,3
"Amacayacu","pre",1952,11,228.6,2
"Amacayacu","pre",1952,12,190.7,2
"Amacayacu","pre",1953,1,592.1,3
"Amacayacu","pre",1953,2,396.6,2
"Amacayacu","pre",1953,3,515.4,3
"Amacayacu","pre",1953,4,370.9,3
"Amacayacu","pre",1953,5,215.6,2
"Amacayacu","pre",1953,6,178.3,2
"Amacayacu","pre",1953,7,132.5,3
"Amacayacu","pre",1953,8,291.9,2
"Amacayacu","pre",1953,9,329.9,2
"Amacayacu","pre",1953,10,218.7,3
