"sites.sitename","variable","Yr","Mo","Value","N.Obs"
"Amacayacu","dtr",1917,1,8.6,0
"Amacayacu","dtr",1917,2,8.7,0
"Amacayacu","dtr",1917,3,8.6,0
"Amacayacu","dtr",1917,4,8,0
"Amacayacu","dtr",1917,5,7.9,0
"Amacayacu","dtr",1917,6,8.4,0
"Amacayacu","dtr",1917,7,9.4,0
"Amacayacu","dtr",1917,8,9.7,0
"Amacayacu","dtr",1917,9,10,0
"Amacayacu","dtr",1917,10,9.4,0
"Amacayacu","dtr",1917,11,9.1,0
"Amacayacu","dtr",1917,12,8.5,0
"Amacayacu","dtr",1918,1,8.6,0
"Amacayacu","dtr",1918,2,8.7,0
"Amacayacu","dtr",1918,3,8.6,0
"Amacayacu","dtr",1918,4,8,0
"Amacayacu","dtr",1918,5,7.9,0
"Amacayacu","dtr",1918,6,8.4,0
"Amacayacu","dtr",1918,7,9.4,0
"Amacayacu","dtr",1918,8,9.7,0
"Amacayacu","dtr",1918,9,10,0
"Amacayacu","dtr",1918,10,9.4,0
"Amacayacu","dtr",1918,11,9.1,0
"Amacayacu","dtr",1918,12,8.5,0
"Amacayacu","dtr",1919,1,8.6,0
"Amacayacu","dtr",1919,2,8.7,0
"Amacayacu","dtr",1919,3,8.6,0
"Amacayacu","dtr",1919,4,8,0
"Amacayacu","dtr",1919,5,7.9,0
"Amacayacu","dtr",1919,6,8.4,0
"Amacayacu","dtr",1919,7,9.4,0
"Amacayacu","dtr",1919,8,9.7,0
"Amacayacu","dtr",1919,9,10,0
"Amacayacu","dtr",1919,10,9.4,0
"Amacayacu","dtr",1919,11,9.1,0
"Amacayacu","dtr",1919,12,8.5,0
"Amacayacu","dtr",1920,1,8.6,0
"Amacayacu","dtr",1920,2,8.7,0
"Amacayacu","dtr",1920,3,8.6,0
"Amacayacu","dtr",1920,4,8,0
"Amacayacu","dtr",1920,5,7.9,0
"Amacayacu","dtr",1920,6,8.4,0
"Amacayacu","dtr",1920,7,9.4,0
"Amacayacu","dtr",1920,8,9.7,0
"Amacayacu","dtr",1920,9,10,0
"Amacayacu","dtr",1920,10,9.4,0
"Amacayacu","dtr",1920,11,9.1,0
"Amacayacu","dtr",1920,12,8.5,0
"Amacayacu","dtr",1921,1,8.6,0
"Amacayacu","dtr",1921,2,8.7,0
"Amacayacu","dtr",1921,3,8.6,0
"Amacayacu","dtr",1921,4,8,0
"Amacayacu","dtr",1921,5,7.9,0
"Amacayacu","dtr",1921,6,8.4,0
"Amacayacu","dtr",1921,7,9.4,0
"Amacayacu","dtr",1921,8,9.7,0
"Amacayacu","dtr",1921,9,10,0
"Amacayacu","dtr",1921,10,9.4,0
"Amacayacu","dtr",1921,11,9.1,0
"Amacayacu","dtr",1921,12,8.5,0
"Amacayacu","dtr",1922,1,8.6,0
"Amacayacu","dtr",1922,2,8.7,0
"Amacayacu","dtr",1922,3,8.6,0
"Amacayacu","dtr",1922,4,8,0
"Amacayacu","dtr",1922,5,7.9,0
"Amacayacu","dtr",1922,6,8.4,0
"Amacayacu","dtr",1922,7,9.4,0
"Amacayacu","dtr",1922,8,9.7,0
"Amacayacu","dtr",1922,9,10,0
"Amacayacu","dtr",1922,10,9.4,0
"Amacayacu","dtr",1922,11,9.1,0
"Amacayacu","dtr",1922,12,8.5,0
"Amacayacu","dtr",1923,1,8.6,0
"Amacayacu","dtr",1923,2,8.7,0
"Amacayacu","dtr",1923,3,8.6,0
"Amacayacu","dtr",1923,4,8,0
"Amacayacu","dtr",1923,5,7.9,0
"Amacayacu","dtr",1923,6,8.4,0
"Amacayacu","dtr",1923,7,9.4,0
"Amacayacu","dtr",1923,8,9.7,0
"Amacayacu","dtr",1923,9,10,0
