"sites.sitename","Year_month","mean_TMP","mean_TMN"
"Wanang","1978-09",17.7000916244921,22.6561394666944
"Wanang","1978-10",17.7000916244921,22.6561394666944
"Wanang","1978-11",17.7000916244921,22.6561394666944
"Wanang","1978-12",17.7000916244921,22.6561394666944
"Wanang","1979-01",17.7000916244921,22.6561394666944
"Wanang","1979-02",17.7000916244921,22.6561394666944
"Wanang","1979-03",17.7000916244921,22.6561394666944
"Wanang","1979-04",17.7000916244921,22.6561394666944
"Wanang","1979-05",17.7000916244921,22.6561394666944
"Wanang","1979-06",17.7000916244921,22.6561394666944
"Wanang","1979-07",17.7000916244921,22.6561394666944
"Wanang","1979-08",17.7000916244921,22.6561394666944
"Wanang","1979-09",17.7000916244921,22.6561394666944
"Wanang","1979-10",17.7000916244921,22.6561394666944
"Wanang","1979-11",17.7000916244921,22.6561394666944
"Wanang","1979-12",17.7000916244921,22.6561394666944
"Wanang","1980-01",17.7000916244921,22.6561394666944
"Wanang","1980-02",17.7000916244921,22.6561394666944
"Wanang","1980-03",17.7000916244921,22.6561394666944
"Wanang","1980-04",17.7000916244921,22.6561394666944
"Wanang","1980-05",17.7000916244921,22.6561394666944
"Wanang","1980-06",17.7000916244921,22.6561394666944
"Wanang","1980-07",17.7000916244921,22.6561394666944
"Wanang","1980-08",17.7000916244921,22.6561394666944
"Wanang","1980-09",17.7000916244921,22.6561394666944
"Wanang","1980-10",17.7000916244921,22.6561394666944
"Wanang","1980-11",17.7000916244921,22.6561394666944
"Wanang","1980-12",17.7000916244921,22.6561394666944
"Wanang","1981-01",17.7000916244921,22.6561394666944
"Wanang","1981-02",17.7000916244921,22.6561394666944
"Wanang","1981-03",17.7000916244921,22.6561394666944
"Wanang","1981-04",17.7000916244921,22.6561394666944
"Wanang","1981-05",17.7000916244921,22.6561394666944
"Wanang","1981-06",17.7000916244921,22.6561394666944
"Wanang","1981-07",17.7000916244921,22.6561394666944
"Wanang","1981-08",17.7000916244921,22.6561394666944
"Wanang","1981-09",17.7000916244921,22.6561394666944
"Wanang","1981-10",17.7000916244921,22.6561394666944
"Wanang","1981-11",17.7000916244921,22.6561394666944
"Wanang","1981-12",17.7000916244921,22.6561394666944
"Wanang","1982-01",17.7000916244921,22.6561394666944
"Wanang","1982-02",17.7000916244921,22.6561394666944
"Wanang","1982-03",17.7000916244921,22.6561394666944
"Wanang","1982-04",17.7000916244921,22.6561394666944
"Wanang","1982-05",17.7000916244921,22.6561394666944
"Wanang","1982-06",17.7000916244921,22.6561394666944
"Wanang","1982-07",17.7000916244921,22.6561394666944
"Wanang","1982-08",17.7000916244921,22.6561394666944
"Wanang","1982-09",17.7000916244921,22.6561394666944
"Wanang","1982-10",17.7000916244921,22.6561394666944
"Wanang","1982-11",17.7000916244921,22.6561394666944
"Wanang","1982-12",17.7000916244921,22.6561394666944
"Wanang","1983-01",17.7000916244921,22.6561394666944
"Wanang","1983-02",17.7000916244921,22.6561394666944
"Wanang","1983-03",17.7000916244921,22.6561394666944
"Wanang","1983-04",17.7000916244921,22.6561394666944
"Wanang","1983-05",17.7000916244921,22.6561394666944
"Wanang","1983-06",17.7000916244921,22.6561394666944
"Wanang","1983-07",17.7000916244921,22.6561394666944
"Wanang","1983-08",17.7000916244921,22.6561394666944
"Wanang","1983-09",17.7000916244921,22.6561394666944
"Wanang","1983-10",17.7000916244921,22.6561394666944
"Wanang","1983-11",17.7000916244921,22.6561394666944
"Wanang","1983-12",17.7000916244921,22.6561394666944
"Wanang","1984-01",17.7000916244921,22.6561394666944
"Wanang","1984-02",17.7000916244921,22.6561394666944
"Wanang","1984-03",17.7000916244921,22.6561394666944
"Wanang","1984-04",17.7000916244921,22.6561394666944
"Wanang","1984-05",17.7000916244921,22.6561394666944
"Wanang","1984-06",17.7000916244921,22.6561394666944
"Wanang","1984-07",17.7000916244921,22.6561394666944
"Wanang","1984-08",17.7000916244921,22.6561394666944
"Wanang","1984-09",17.7000916244921,22.6561394666944
"Wanang","1984-10",17.7000916244921,22.6561394666944
"Wanang","1984-11",17.7000916244921,22.6561394666944
"Wanang","1984-12",17.7000916244921,22.6561394666944
"Wanang","1985-01",17.7000916244921,22.6561394666944
"Wanang","1985-02",17.7000916244921,22.6561394666944
"Wanang","1985-03",17.7000916244921,22.6561394666944
"Wanang","1985-04",17.7000916244921,22.6561394666944
"Wanang","1985-05",17.7000916244921,22.6561394666944
"Wanang","1985-06",17.7000916244921,22.6561394666944
"Wanang","1985-07",17.7000916244921,22.6561394666944
"Wanang","1985-08",17.7000916244921,22.6561394666944
"Wanang","1985-09",17.7000916244921,22.6561394666944
"Wanang","1985-10",17.7000916244921,22.6561394666944
"Wanang","1985-11",17.7000916244921,22.6561394666944
"Wanang","1985-12",17.7000916244921,22.6561394666944
"Wanang","1986-01",17.7000916244921,22.6561394666944
"Wanang","1986-02",17.7000916244921,22.6561394666944
"Wanang","1986-03",17.7000916244921,22.6561394666944
"Wanang","1986-04",17.7000916244921,22.6561394666944
"Wanang","1986-05",17.7000916244921,22.6561394666944
"Wanang","1986-06",17.7000916244921,22.6561394666944
"Wanang","1986-07",17.7000916244921,22.6561394666944
"Wanang","1986-08",17.7000916244921,22.6561394666944
"Wanang","1986-09",17.7000916244921,22.6561394666944
"Wanang","1986-10",17.7000916244921,22.6561394666944
"Wanang","1986-11",17.7000916244921,22.6561394666944
"Wanang","1986-12",17.7000916244921,22.6561394666944
"Wanang","1987-01",17.7000916244921,22.6561394666944
"Wanang","1987-02",17.7000916244921,22.6561394666944
"Wanang","1987-03",17.7000916244921,22.6561394666944
"Wanang","1987-04",17.7000916244921,22.6561394666944
"Wanang","1987-05",17.7000916244921,22.6561394666944
"Wanang","1987-06",17.7000916244921,22.6561394666944
"Wanang","1987-07",17.7000916244921,22.6561394666944
"Wanang","1987-08",17.7000916244921,22.6561394666944
"Wanang","1987-09",17.7000916244921,22.6561394666944
"Wanang","1987-10",17.7000916244921,22.6561394666944
"Wanang","1987-11",17.7000916244921,22.6561394666944
"Wanang","1987-12",17.7000916244921,22.6561394666944
"Wanang","1988-01",17.7000916244921,22.6561394666944
"Wanang","1988-02",17.7000916244921,22.6561394666944
"Wanang","1988-03",17.7000916244921,22.6561394666944
"Wanang","1988-04",17.7000916244921,22.6561394666944
"Wanang","1988-05",17.7000916244921,22.6561394666944
"Wanang","1988-06",17.7000916244921,22.6561394666944
"Wanang","1988-07",17.7000916244921,22.6561394666944
"Wanang","1988-08",17.7000916244921,22.6561394666944
"Wanang","1988-09",17.7000916244921,22.6561394666944
"Wanang","1988-10",17.7000916244921,22.6561394666944
"Wanang","1988-11",17.7000916244921,22.6561394666944
"Wanang","1988-12",17.7000916244921,22.6561394666944
"Wanang","1989-01",17.7000916244921,22.6561394666944
"Wanang","1989-02",17.7000916244921,22.6561394666944
"Wanang","1989-03",17.7000916244921,22.6561394666944
"Wanang","1989-04",17.7000916244921,22.6561394666944
"Wanang","1989-05",17.7000916244921,22.6561394666944
"Wanang","1989-06",17.7000916244921,22.6561394666944
"Wanang","1989-07",17.7000916244921,22.6561394666944
"Wanang","1989-08",17.7000916244921,22.6561394666944
"Wanang","1989-09",17.7000916244921,22.6561394666944
"Wanang","1989-10",17.7000916244921,22.6561394666944
"Wanang","1989-11",17.7000916244921,22.6561394666944
"Wanang","1989-12",17.7000916244921,22.6561394666944
"Wanang","1990-01",17.7000916244921,22.6561394666944
"Wanang","1990-02",17.7000916244921,22.6561394666944
"Wanang","1990-03",17.7000916244921,22.6561394666944
"Wanang","1990-04",17.7000916244921,22.6561394666944
"Wanang","1990-05",17.7000916244921,22.6561394666944
"Wanang","1990-06",17.7000916244921,22.6561394666944
"Wanang","1990-07",17.7000916244921,22.6561394666944
"Wanang","1990-08",17.7000916244921,22.6561394666944
"Wanang","1990-09",17.7000916244921,22.6561394666944
"Wanang","1990-10",17.7000916244921,22.6561394666944
"Wanang","1990-11",17.7000916244921,22.6561394666944
"Wanang","1990-12",17.7000916244921,22.6561394666944
"Wanang","1991-01",17.7000916244921,22.6561394666944
"Wanang","1991-02",17.7000916244921,22.6561394666944
"Wanang","1991-03",17.7000916244921,22.6561394666944
"Wanang","1991-04",17.7000916244921,22.6561394666944
"Wanang","1991-05",17.7000916244921,22.6561394666944
