Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
18,Bukit Timah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Sinharaja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Fushan,0,0,0,0,0,0,0,0,0,0,0,0.01,1.22,0,0,0,0,0.08,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Kenting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Lienhuachih,3.25,1.74,1.58,2.31,5.41,4.93,3.84,4.47,3.3,3.8,4.93,10.6,16.92,3.46,4.98,1.14,6.92,9.65,3.39,5.34,7.61,5,3.4,7.02,3.95,5.6,6.08,4.91,2.97,4.77,5.37,4.73,5.47,5.6,3.81,9.79,3.39,1.69,4.97,1.8,1.87,5.24,4.33,2.15,4.49,3.74,2.92,0.53,1.82,1.16,0.25,1.21,2.42,0.61,5.37,0.95,0.49,3.47,1.97,0.56,4.89,1.02
23,Nanjenshan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Zenlun,1.25,0.53,0.47,0.59,2.37,2.65,1.82,1.86,1.55,1.75,2.71,6.13,11.08,0.95,2.27,0.17,3.51,5.91,1.58,2.84,4.24,2.47,1.51,4.26,1.58,2.92,3.56,2.81,1.22,2.1,3.02,2.57,3.1,2.9,1.98,6.56,1.58,0.56,2.67,0.55,1.01,3.3,2.09,0.78,2.35,1.86,1.57,0.1,1.17,0.56,0.01,0.49,0.93,0.04,2.31,0.19,0.06,1.9,0.83,0.02,2.3,0.26
25,Doi Inthanon,0,0,0,0.02,1.45,1.54,0.33,0.33,0.13,0,0,0,0.52,0,0.11,0,0.02,0.22,0.36,0,0.05,0.3,0.07,3.9,0,0.06,0,0,0,0,0,0,0.06,0,0,0,0.02,0,0.31,0.01,0,0,0,0,0.05,0.06,0.24,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Huai Kha Khaeng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Khao Chong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Mo Singto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Haliburton Forest,194.89,197.52,186.35,192.06,183.52,206,197.43,199.59,192.23,191.56,190.69,188.22,191.75,195.94,192.82,201.38,203.12,182.11,191.13,184.5,183.99,201.04,176.37,201.22,185.23,202.76,187.89,196.55,180.79,195.35,190.02,180.57,188.63,180.2,184.35,178.57,175.98,185.99,198.33,191.8,182.15,203.51,196.57,186.79,192.53,194.09,197.67,176.1,184.89,188.48,171.21,192.65,192.38,188.85,183.85,175.7,181.34,193.12,189.69,172.72,175.92,174.31
30,Scotty Creek ,235.29,228.58,223.89,237.5,235.16,241.89,233.13,226.38,244.9,228.11,246.79,231.98,230.76,238.71,242.02,238.04,238.06,244.8,240.52,235.62,231.54,249.48,226.89,249.75,227.67,218.19,232.42,238.7,235.49,225.12,229.74,236.73,253.2,235.77,238.21,234.71,226.31,234.12,229.94,227.09,222.46,248.07,223.92,219.59,221.45,239.4,228.59,210.52,227.01,237.24,229.78,249.31,227.67,246.24,223.89,224.52,233.02,230.79,231.6,230.4,222.99,224.19
31,Harvard Forest,158.5,162.59,148.85,151.48,154.34,178.43,154.89,161.99,154.08,165.33,164.27,173.28,168.7,176.25,171.42,170.78,174.36,162.05,158.32,155.33,162.96,177.04,142.91,161.32,148.16,166.81,151.14,170.91,144.77,166.79,160,164.69,154.73,158.62,152.46,156.97,163.67,163.12,166.02,148.29,149.27,175.37,167.99,166.72,164.4,163.12,165.39,139.88,153.71,156.34,157.46,154.27,163.72,152.64,160.44,141.73,155.11,163.83,152.93,144.26,142.05,134.15
32,Lilly Dickey Woods,136.65,122.92,122.97,115.94,130.15,119.24,123.29,134.42,130.69,134.19,127.76,133.64,127.51,133.14,124.77,128.86,120.57,125.88,133.66,126.9,124.38,130.1,103.09,116.15,120.94,137.86,117.71,133.69,127.23,140.58,126.08,118,116.74,120.52,109.9,117.78,120.01,140.47,127.73,105.25,108.58,110.06,127.68,114.88,131.75,140.85,125.34,92.28,110.9,115.74,105.95,113.73,112.97,102.66,115.79,99.68,104.71,121.66,106.19,113.68,96.8,90.39
33,Santa Cruz,17.55,19.07,19.59,18.09,24.98,26.05,13.6,8.62,10.7,13.76,17.15,19.09,21.89,24.11,18.5,18.36,18.58,17.21,14.42,9.74,25.79,21.08,12.31,18.11,24.67,27.57,18.33,13.95,14.3,10.09,5.56,16.82,4.94,12.39,19.4,5.26,9.26,12.63,19.49,22.49,13.21,9.05,10.25,13.29,1.74,2,6.03,8.24,14.7,5.5,8.77,7.77,3.82,4.76,3.25,9.45,12.09,11.54,8.92,3.72,13.05,8.6
34,SCBI,116.16,109.41,105.56,109.13,115,102.88,100.95,121.71,124.09,130.31,109.73,120.58,115.04,116.48,118.08,124.76,122.17,115.77,127.26,120.29,112.71,110.21,96.94,102.84,107.19,118.05,103.76,120.82,104.54,119.67,117.21,107.09,107.39,108.88,99.1,118.45,116.78,128.86,124.91,97.49,105.5,102.99,115.96,112.45,113.61,121.25,130.91,107.19,121.72,126.26,99.74,101.31,106.92,100.22,106.12,86.62,98.52,101.9,100.83,117.01,108.08,102.75
35,SERC,88.62,72.91,67.43,82.36,90.64,74.1,75.21,96.82,90.09,104.07,90.6,100.01,90.23,85.15,95.2,93.21,87.62,91.44,91.2,93.77,93.63,88.73,75.62,70.94,82.99,99.56,81.65,106.3,84.64,93.48,91.95,80.95,83.51,84.51,81.11,84.9,85.19,97.19,92.99,59.1,73.09,80.47,92.82,77.42,82.95,89.53,84.42,62.17,82.93,92.89,80.78,84.77,90.74,85.81,91.22,66.56,81.19,80.59,85.4,85.49,72.18,59.15
