"sites.sitename","Month","tmp_mean","tmn.x_mean","tmx_mean","cld_mean","pre_sum","wet_sum","frs_sum","pet_sum_sum","cld_min","cld_max","cld_median","cld_sd","dtr_min","dtr_max","dtr_median","dtr_sd","frs_min","frs_max","frs_median","frs_sd","pre_min","pre_max","pre_median","pre_sd","tmn.x_min","tmn.x_max","tmn.x_median","tmn.x_sd","tmp_min","tmp_max","tmp_median","tmp_sd","tmn.y_min","tmn.y_max","tmn.y_median","tmn.y_sd","tmx_min","tmx_max","tmx_median","tmx_sd","vap_min","vap_max","vap_median","vap_sd","wet_min","wet_max","wet_median","wet_sd"
"Haliburton","07",18.6428574562073,12.1514287267412,25.1942861829485,53.7100006103516,5949.50008392334,754.879982485,0.249999988824129,8624.20012712479,40.7999992370605,63,54.1000003814698,4.87739969598947,11.1000003814697,15.8000001907349,12.9500002861023,1.07979757408481,0,0.229999989271164,0,0.0275594582475057,25.5,168.699996948242,79.8500022888184,26.7978871209334,9,14.5,12.0500001907348,1.1304408026458,15.6000003814697,21.2000007629395,18.6000003814697,1.21507107744511,9,14.5,12.0500001907348,1.1304408026458,21.2000007629395,28.8999996185303,24.8999996185303,1.50640036661753,13,19.2000007629395,16.1000003814697,1.22437638545015,2.769999981,16.45999908,10.69999981,2.555416097457
"Haliburton","08",17.5400002343314,11.3500002043588,23.77285761152,54.9557152884347,6654.00008392334,831.219986921,0.839999970048667,7058.7000901699,44.5,65.4000015258789,54.8500003814698,4.92872792180265,10.6000003814697,14.8000001907349,12.4000005722046,0.956014008804175,0,0.329999983310699,0,0.0507794298786088,38.2000007629395,146.699996948242,95.7500038146973,24.729989145494,8.80000019073486,14.5,11.3000001907349,1.30891592769638,14.8000001907349,20.3999996185303,17.4499998092652,1.24544384253245,8.80000019073486,14.5,11.3000001907349,1.30891592769638,20.8000011444092,26.7000007629395,23.8000011444092,1.36178919256007,13.3000001907349,19,15.4000005722046,1.27579474579587,4.909999847,18.52000046,11.795000075,2.47805482931616
"Haliburton","09",13.1357144764491,7.324285868236,19.0014290673392,59.3014295305525,7272.10010147095,925.07998131,137.969995953143,4419.00009155273,46.2999992370605,72.7000045776367,58.8000011444092,5.09965918026611,7.80000019073486,14.3000001907349,11.75,1.23407788852134,0,8.73999977111816,1.71999990940094,1.70417059246305,36.7999992370605,192.5,99.8500022888184,29.1753914409813,3.40000009536743,11,7.20000028610229,1.43400084893017,10.5,16.3000011444092,12.8500003814698,1.41626539752147,3.40000009536743,11,7.20000028610229,1.43400084893017,16.1000003814697,22.3999996185303,18.8000011444092,1.63994457334703,10.3000001907349,16,12.4500002861023,1.18450049830269,6.559999943,19.06999969,13.364999295,2.89926607490646
"Haliburton","10",6.76714296340942,1.55142859731402,12.0214287894113,63.7300011226109,7586.60012054443,1026.619971723,968.389982700348,2514.1000635624,42.7000007629395,78.0999984741211,63.7999992370605,6.36590458966948,8.19999980926514,13.4000005722046,10.4500002861023,1.14770100084764,5.84999990463257,21.7700004577637,13.6499996185303,3.71422675034914,26.7000007629395,220.800003051758,108.300003051758,40.4550049793144,-1.5,4.80000019073486,1.60000002384186,1.43231271851781,3.90000009536743,10.4000005722046,6.80000019073486,1.51988956348788,-1.5,4.80000019073486,1.60000002384186,1.43231271851781,8.69999980926514,16.8000011444092,12.1999998092651,1.81074831756125,6.5,11.6000003814697,8.35000038146972,1.08883004215317,5.699999809,21.86999893,15.079999445,3.73149846805752
"Haliburton","11",0.137142865040473,-3.92000007512314,4.19428578274591,75.0385727473668,7861.80015182495,1083.069977314,1691.26996994019,975.000014305114,61.7000007629395,83.8000030517578,74.9000015258789,4.28682821964353,5.59999990463257,10.1000003814697,8.10000038146973,1.11435581924675,17.6000003814697,27.2600002288818,24.6499996185303,1.93027592077155,55.2000007629395,210.100006103516,110.100002288819,30.0433442158347,-7.09999990463257,-0.100000001490116,-4.20000028610229,1.64092588653191,-3.20000004768372,3.40000009536743,-0.050000000745058,1.675152748921,-7.09999990463257,-0.100000001490116,-4.20000028610229,1.64092588653191,0.5,8.19999980926514,4.15000009536743,1.88278901976143,4.20000028610229,7.80000019073486,5.65000009536743,0.759351637958635,7.730000019,23.87999916,15.67999983,2.92920339145571
"Haliburton","12",-7.39571440305028,-12.1571430478777,-2.67428576595017,72.5128583635603,7891.9001159668,1229.37997249,2122.28996658325,344.100005820393,58.2999992370605,83.5,73.3500022888184,4.85854794311916,5.5,13.6999998092651,9.45000028610229,1.51945566634494,25.6800003051758,31,30.7600002288818,0.956014780586086,64.5999984741211,187.199996948242,111.100002288819,26.7736703286218,-22.3999996185303,-4.40000009536743,-12,3.32167118645749,-15.6000003814697,-0.800000011920929,-7.35000014305114,2.70760797767037,-22.3999996185303,-4.40000009536743,-12,3.32167118645749,-8.80000019073486,2.79999995231628,-2.60000014305115,2.20583456814767,1.39999997615814,6.59999990463257,3.60000014305115,0.852564048062089,12.36999989,23.21999931,17.444999695,2.56358640063734
"Harvard_Forest","01",-5.08428583017417,-10.8714288234711,0.687142861847367,65.37571547372,5771.40008926392,814.559980887,2097.1799621582,1872.40003529191,54.7999992370605,76.0999984741211,65.7000045776367,3.82923307297305,8.5,14.6000003814697,11.4500002861023,1.11562312419152,27.0499992370605,31,30.2749996185303,1.0930942961347,15,254.100006103516,76.4500007629395,42.8171945780228,-17,-5.80000019073486,-10.5500001907348,2.88424728241988,-10.3000001907349,-0.400000005960464,-4.85000014305114,2.49704967274926,-17,-5.80000019073486,-10.5500001907348,2.88424728241988,-4,5.30000019073486,0.850000023841858,2.19986311309655,1.39999997615814,4.40000009536743,2.79999995231628,0.676300988601487,6.659999847,16.54999924,11.34499979,2.18378063554099
"Harvard_Forest","02",-3.67000004202127,-9.79000016621181,2.44428575964911,66.5057156699044,5176.80007219315,728.379978148,1885.24996185303,2200.50005471707,44.7999992370605,77.2000045776367,66.6500015258789,5.36996232238459,9.90000057220459,14.5,12.1000003814697,1.04528516556678,24.0100002288818,28.8899993896484,27.204999923706,1.13607370641435,4.90000009536743,185,70.6500015258789,30.6887259331964,-17,-5.30000019073486,-9.45000028610229,2.56374669187938,-10.1000003814697,0.600000023841858,-3.70000004768372,2.35700314949792,-17,-5.30000019073486,-9.45000028610229,2.56374669187938,-3.29999995231628,6.80000019073486,2.65000009536744,2.26674997026189,1.60000002384186,4.90000009536743,3.15000009536744,0.692642498085687,6.349999905,15.72999954,10.324999805,1.77273771990144
"Harvard_Forest","03",1.17000002456563,-4.80000008940697,7.14000007084438,67.5985728127616,6119.30009746552,833.019985648,1810.61997032166,3785.10007095337,55.9000015258789,81.4000015258789,67.4000015258789,5.12732094103911,9,14.4000005722046,11.9000005722046,1.05214366417551,17.9200000762939,29.2399997711182,26.0900001525879,2.1143171384973,14.8000001907349,186.5,81.8500022888184,33.4458783716117,-8.60000038146973,0,-4.80000019073486,1.85761266998764,-2.60000014305115,6.5,1.10000002384186,1.82973432550802,-8.60000038146973,0,-4.80000019073486,1.85761266998764,3.20000004768372,13,7,1.94923992732391,3,6,4,0.664578537799614,6.679999828,16.07999992,11.879999635,1.95711922715564
"Harvard_Forest","04",7.84571444647653,0.96285715763058,14.7642859731402,66.7857160295759,6354.00012779236,812.529983969,1039.8899679184,6099.00011301041,57.4000015258789,75.7000045776367,66.3000030517578,3.89512153547352,11.4000005722046,16.2000007629395,13.9000005722046,1.03051173877256,7.81999969482422,21.5399990081787,14.1199998855591,3.1151805056861,20.1000003814697,175.600006103516,91.6000022888184,34.1612767523207,-1.70000004768372,3.79999995231628,1.25000005960464,1.2227518959687,4.90000009536743,10.6000003814697,8,1.3168568256989,-1.70000004768372,3.79999995231628,1.25000005960464,1.2227518959687,11.5,18.3999996185303,15,1.5991878346079,4.70000028610229,8,6.35000014305114,0.702478587459172,7.559999943,17.65999985,11.56499958,2.01432582781622
