StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
44,4,190009,3.55,71.8,-1.13,-1.13,-0.92,-1.13,212,8,0.34,-0.67,-0.48,-0.77,-0.45,-0.8,0.53,60.1,83.4
44,4,190010,2.45,59,-1.58,-1.58,-1.71,-1.58,21,207,-0.2,-0.09,-0.83,-0.57,-0.52,-0.86,0.04,48.8,69.3
44,4,190011,2.82,46.7,-1.92,-1.92,-1.5,-1.92,0,549,0.17,-0.16,-0.11,-0.12,-0.89,-0.7,0.01,36.8,56.7
44,4,190012,2.12,33.8,-2.25,-2.25,-1.58,-2.25,0,967,-0.5,-0.26,-0.43,-0.74,-0.93,-0.65,-0.12,23.7,43.8
44,4,190101,2.47,33.3,-2.22,-2.22,-0.6,-2.22,0,983,-0.1,-0.5,-0.29,-0.93,-0.73,-0.66,-0.28,23.7,42.8
44,4,190102,0.41,27.6,-2.81,-2.81,-2.46,-2.81,0,1047,-2.13,-1.62,-1.56,-0.91,-0.81,-1.54,-0.97,17.7,37.5
44,4,190103,3.29,43.4,-0.01,-2.53,-0.04,-2.48,0,670,0.13,-1.13,-1.11,-0.97,-1.17,-1.4,-1.15,32.1,54.7
44,4,190104,6.77,47.6,1.56,-0.71,4.67,1.35,0,522,1.97,1.7,0.71,0.28,-0.44,-0.35,-0.46,38,57.2
44,4,190105,5.59,60.7,2.1,2.1,2.12,2.1,29,162,1.01,2.09,1.89,0.61,0.32,0.25,-0.41,49.4,72.1
44,4,190106,4.95,69.4,2.53,2.53,1.93,2.53,143,11,0.7,1.15,2.1,1.07,0.57,0.1,-0.25,58.5,80.4
44,4,190107,5.15,76.9,2.74,2.74,1.42,2.74,369,0,0.9,0.99,1.4,1.53,0.93,0.28,0.03,66,87.8
44,4,190108,6.59,72.8,3.49,3.49,3.09,3.49,244,0,1.32,1.45,1.53,2.48,1.37,1.05,0.41,63.2,82.4
44,4,190109,3.11,64.3,3.34,3.34,0.62,3.34,59,80,0.14,0.86,1.08,2.1,1.44,0.97,0.19,52.6,75.9
