Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
22,Lienhuachih,19.542,19.9,19.667,19.642,19.017,19.208,19.158,19.208,19.55,19.417,19.375,18.85,18.783,19.275,19.058,19.942,19.175,18.608,19.675,19.833,19.117,19.308,19.667,19.533,19.417,18.983,19.483,19.458,19.558,19.933,19.875,19.775,19.992,19.625,19.792,19.642,20.317,19.85,19.425,19.808,20.175,19.642,20.058,20.15,19.692,19.933,19.917,20.833,20.342,20.133,20.408,20.525,20.325,20.367,19.925,20.633,20.708,20.233,20.175,20.058,19.767,19.858
23,Nanjenshan,26.692,27.217,26.708,27.342,26.825,26.617,26.717,27,27.5,27.133,27.15,26.758,26.65,26.85,26.95,27.342,26.5,26.217,26.975,27,26.558,26.8,27.35,27.175,27.167,26.842,27.25,26.85,27.167,27.6,27.25,27.183,27.55,27.242,27.167,26.708,27.683,27.117,27.075,27.4,27.583,27.508,27.708,27.642,26.808,26.858,26.942,27.908,27.35,27.375,27.517,27.708,27.733,27.667,27.417,28.217,28.092,27.658,27.517,27.633,27.267,27.458
24,Zenlun,20.433,20.825,20.483,20.683,20.133,20.242,20.167,20.267,20.683,20.325,20.308,19.9,19.858,20.242,20.058,20.925,20.108,19.633,20.692,20.775,20.017,20.333,20.742,20.658,20.558,20.083,20.433,20.4,20.692,21.025,20.817,20.742,21.092,20.792,20.917,20.525,21.483,20.908,20.492,20.783,21.1,20.708,21.1,21.233,20.667,20.892,20.867,21.717,21.142,21.025,21.292,21.417,21.317,21.325,20.917,21.65,21.667,21.208,21.133,21.108,20.783,20.9
25,Doi Inthanon,28.933,28.492,28.542,29.117,28.608,28.967,29.825,29.667,29.758,29.075,28.367,28.833,28.933,28.942,29.092,29.642,29.042,29.242,29.433,28.742,28.333,28.95,28.875,28.592,28.658,28.3,27.267,29.275,30.292,29.625,28.717,29.033,29.692,29.208,29.308,29.325,29.55,29.158,29.042,29.325,29.875,29.117,29.458,29.167,29.442,28.733,29.425,30.775,28.7,28.758,28.692,28.35,28.392,28.5,29.083,28.925,28.525,29.033,29.425,30.225,28.583,29.758
26,Huai Kha Khaeng,31.267,31.358,30.725,31.108,30.283,30.092,31.392,31.383,31.425,31.367,30.517,31.067,31.017,30.825,31.058,31.283,30.842,31.325,31.208,30.542,30.283,31.058,31.092,30.533,30.275,30.567,31.3,31.358,32.292,31.567,30.317,30.792,31.225,30.692,30.767,30.925,31.3,30.767,31.175,31.492,32.192,31.608,31.858,31.4,31.217,30.683,31.283,32.075,30.267,31.092,31,30.85,31.05,31.25,31.067,31.067,30.833,30.283,30.725,31.517,30.125,31.242
27,Khao Chong,31.358,31.208,31.092,31.267,31.142,30.983,31.6,31.967,31.433,31.35,31.083,31.133,31.442,31.358,31.1,31.35,31.125,31.633,31.625,31.2,30.983,31.708,31.517,31.242,30.675,31.067,31.583,31.458,31.817,31.567,31.4,31.483,31.942,31.242,31.508,31.467,32.175,31.558,31.433,31.992,32.017,31.967,31.833,31.817,32.133,31.942,32.292,32.667,31.267,31.633,31.742,32.233,32,32.167,32.067,32.033,31.617,31.517,31.908,32.217,31.542,32.092
28,Mo Singto,32.2,32.117,32.108,32.3,31.967,31.817,32.458,32.283,32.55,32.658,31.975,32.033,31.842,32.125,32.15,32.642,32.117,32.725,32.617,32.442,31.767,32.367,32.392,31.692,31.958,32.142,32.558,32.55,33.308,32.608,31.508,31.658,31.958,31.75,31.758,31.867,32.492,31.958,32.458,32.617,33.083,32.825,32.642,32.858,32.633,32.692,33.658,33.892,32.433,32.733,32.408,32.742,32.717,32.8,32.608,32.75,32.558,31.867,32.433,32.817,31.633,32.65
29,Haliburton Forest,10.4,11.175,11.708,9.9583,11.217,9.9083,10.592,9.8333,10.15,10.025,10.3,9.9167,9.95,10.758,9.5083,9.9333,9.5917,10.1,10.25,9.7833,10.342,8.875,10.65,9.4667,10.667,9.25,9.85,9.2333,9.8333,9.1583,9.9333,10.117,10.792,10.5,9.825,10.333,11.8,10.883,9.9583,11.317,11.583,9.4917,9.725,10.025,9.9417,9.3667,9.6417,12.25,12.075,10.383,11.75,11.208,10.083,9.85,10.992,11.508,10.592,10.167,9.7667,11.417,11.367,12.567
30,Scotty Creek ,0.83333,2.65,2.9417,2.35,0.775,0.83333,2.3167,2.5083,1.0583,1.6417,0.48333,2.3917,2.4417,1.65,2.0167,0.85833,2.4667,2.025,2.4417,2.2917,2.225,1.3,3.325,0.86667,2.1917,3.8917,3.35,2.6833,2.2333,3.475,3.9833,0.475,1.2,1.8167,2.3,2.4917,4.4417,2.5,2.7833,1.6167,2.9917,2.1917,4.35,3.0833,3.0583,1.7917,3.4583,4.6083,3.5167,3.1667,3.1667,2.4167,3.0833,2.475,4.075,3.5083,2.5333,2.6333,1.8667,3.5833,3.3333,3.1917
31,Harvard Forest,14.983,15.358,16.325,14.617,14.767,14.042,15.783,13.383,15.1,14.583,14.658,14.158,14.75,15.033,14.283,14.867,13.908,14.342,14.408,14.333,14.467,13.167,15.333,14.575,14.967,14.742,14.858,14.283,14.825,14.733,15.05,14.817,15.375,15.308,14.9,14.958,15.35,14.942,14.533,16.158,16.242,14.217,15.083,14.692,14.817,14.475,14.458,16.108,15.967,14.692,15.675,15.642,14.275,14.733,15.15,16.083,15.233,15.158,14.5,16.433,15.675,16.717
32,Lilly Dickey Woods,17.208,18.492,19.125,19.092,18.467,18.1,17.733,16.475,18.208,16.983,17.275,17.242,17.342,18.458,17.992,17.092,17.342,16.95,16.717,17.533,17.883,16.733,18.158,17.492,17.883,17.5,17.55,16.533,16.475,17.092,17.05,17.1,17.592,17.325,17.317,17.858,18.633,17.95,16.675,18.642,18.733,17.292,16.742,17.433,17.233,16.158,16.425,18.742,18.5,17.067,18.05,18.175,16.708,17.567,17.808,18.025,18.733,17.342,17.167,18.383,18.367,19.783
33,Santa Cruz,17.8,17.975,18.492,18.517,17.842,18.433,18.792,20.142,20.35,18.65,19.133,18.225,18.6,18.8,18.358,18.825,18.767,18.958,18.6,19.058,18.35,18.717,18.492,18.292,18.058,19.642,19.083,18.942,19.008,19.1,19.475,18.392,19.233,19.967,19.05,19.167,19.258,19.575,18.942,19.05,18.508,19.608,19.242,18.442,19.083,19.242,19.892,18.292,18.133,18.908,18.967,18.908,19.092,19.442,19.158,18.867,18.842,18.867,19.083,18.883,18.342,18.742
34,SCBI,20.225,20.367,21.542,20.783,20.325,20.175,20.133,18.283,20.433,18.842,19.075,18.417,19.625,20.133,20.058,19.025,18.967,19.483,18.767,19.175,19.483,18.808,19.817,19.783,19.525,19.408,19.625,18.442,18.533,19.367,19.092,19.458,19.183,19.375,20.025,19.808,20.075,19.858,18.883,21.125,21.05,18.708,19.567,19.583,18.9,18.067,17.542,19.167,18.433,17.6,19.883,20.142,18.425,19.35,19.708,20.483,20.258,19.783,19.192,18.833,19.192,19.892
35,SERC,19.683,19.667,20.525,20.108,19.275,19.192,19.558,17.642,20.133,18.583,18.958,18.133,18.95,19.542,19.125,18.658,18.542,19.117,18.3,18.883,18.733,18.125,19.317,19.308,18.908,18.65,19.283,17.975,18.492,18.858,18.425,18.933,18.817,19.033,19.783,19.608,19.692,19.1,18.325,20.583,20.458,18.333,18.983,19.742,19.425,18.492,19.05,20.2,19.308,18.433,19.608,19.85,17.95,18.85,19.175,20.325,19.775,19.475,18.633,19.808,20.342,20.95
36,Tyson Research Center,17.458,19.492,20.55,20.392,19.65,19.617,18.475,17.242,18.5,17.492,17.833,18.242,18.683,19.292,19.008,17.992,17.808,17.925,17.875,18.442,19.325,18.017,18.525,18.117,18.258,18.458,18.15,16.942,17.725,19.1,18.925,18.1,18.467,18.817,17.983,19.508,19.967,20.125,18.767,20.725,20.542,19.467,18.033,19.575,18.992,18.15,18.35,20.058,20.292,19.117,19.925,19.858,19.125,19.533,20.133,20.675,20.375,18.667,18.992,19.95,20.292,22.15
37,Wabikon Lake Forest,8.7083,10.917,11.175,10.058,10.983,10.267,10.142,10.092,9.975,9.825,10.525,9.6667,10.508,10.783,9.425,9.9083,9.5,10.517,10.067,10.383,10.017,8.9833,10.85,9.975,10.592,10.308,10.758,9.9,8.95,10.092,10.758,9.5917,10.558,10.725,9.7417,10.75,11.708,10.867,9.7667,11.267,10.7,9.625,9.3917,10.175,9.6167,8.5833,9.6167,12.042,11.133,9.8583,11.483,10.792,10.542,10.608,11.533,12.117,10.525,8.9333,9.15,11.158,9.9,12.258
38,Wind River,13.958,14.342,14.317,13.1,12.183,13.317,13.542,15.708,13.825,13.792,14.492,13.992,13.733,12.975,14.525,14.217,15,13.867,13.575,13.933,13.5,13.758,13.792,14.142,13.067,13.908,13.933,13.542,13.692,13.35,14.267,13.358,13.45,13.108,12.825,14.292,15.242,14.617,13.992,14.508,14.517,15.808,13.458,14.917,14.667,14.183,13.558,14.05,13.467,13.108,13.517,13.8,14.383,14.183,13.642,14.075,13.275,13.108,13.65,13.15,12.667,13.8
39,Yosemite National Park,18.917,17.625,18.275,18.875,18.167,18.442,17.825,18.6,20.175,19.125,18.775,18.75,18.325,18.767,18.058,19.433,18.25,18.692,18.108,19.458,18.108,18.625,18.3,19.25,17.95,20.258,20.375,18.517,19.167,19.525,20.108,17.325,17.792,19.725,18.917,19.558,19.6,20.017,19.367,19.35,19.483,19.925,18.725,18.992,18.6,19.283,19.008,17.383,19.267,19.517,20.192,19.733,19.775,19.325,18.983,19.283,19.842,19.642,19.55,18.75,18.825,20.467
40,Ilha do Cardoso,23.967,24.75,24.858,25.05,24.392,23.617,24.317,25.083,25.267,24.417,25.217,23.483,24.833,23.667,24.5,24.517,24.625,23.867,24.25,24.392,24.192,24.583,24.367,24.525,25.033,24.3,25.275,24.75,24.15,25.175,25.2,24.8,24.875,24.983,24.967,25.125,24.892,24.2,24.383,24.7,24.983,25.133,25.35,25.167,25.492,24.742,25.392,25.342,24.825,25.008,25.858,26.25,25.642,25.025,25.75,25.625,25.733,25.092,25.658,25.508,25.192,25.992
41,Manaus,31.408,31.475,31.25,31.3,30.758,30.458,31.358,31.658,31.025,31.042,31.425,31.467,31.817,31.492,31.392,31.475,31.608,31.058,31.767,31.308,30.883,31.342,31.283,31,30.95,31.217,31.283,30.933,31.508,31.483,31.258,31.458,31.4,30.933,31.158,31.017,31.858,31.408,30.85,31.575,31.408,31.617,31.167,31.183,31.775,31.25,31.925,32.175,31.158,31.492,31.983,31.85,32.058,32.075,32.383,32.05,31.908,31.475,32.2,32.433,31.975,31.983
42,Amacayacu,30.358,30.275,30.517,30.5,30.333,30.1,30.45,30.85,30.708,30.6,31.208,31.217,31.6,31.217,31.05,31.358,31.175,31.017,31.233,31.225,30.933,31.308,30.717,29.775,30.033,29.925,30,30.192,30.267,30.517,30.05,30.4,30.583,30.417,30.217,29.942,30.808,30.667,30.417,30.525,30.783,30.433,30.025,30.308,30.742,30.442,30.483,30.883,30.175,30.592,30.517,30.708,30.825,30.733,30.992,30.583,30.692,30.7,31.108,31.1,30.8,30.825
