Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
22,Lienhuachih,208.44,195.93,208.26,177.72,177.24,204.75,184.48,174.63,197.19,187.15,193.12,173.65,140.66,172.23,180.9,211.81,175.27,190.82,186.54,202.1,151.13,199.34,198.03,202.84,198.36,170.46,187.97,186.2,179.95,183.64,190.59,185.36,201.65,182.09,201.79,182,181.6,181.37,176.86,215.54,171,205.32,163.55,183.47,186.93,176.72,179.72,220.14,183.59,195.53,194.61,167.9,161.5,175.78,192.76,203.15,174.37,187.75,171.23,205.66,178.52,218.94
23,Nanjenshan,157.83,150.34,162.65,141.11,140.86,155.01,147.82,140.86,151.99,146.45,155.7,143.32,115.16,134.96,142.85,156.36,144.22,151.08,141.6,155.55,132.19,155.95,150.47,146.57,149.11,129.09,143.82,141.77,131.52,139.13,151.15,142.36,146.98,147.58,159.4,145.4,134.49,133.11,140.32,164.92,138.68,150.56,118.89,139.55,146.54,134.22,127.71,159.58,162.5,149.46,156.96,134.28,128.14,134.2,141.07,144.44,135.2,144.37,129.96,147.26,142.05,166.15
24,Zenlun,200.62,186.93,201.69,170.13,170.55,195.56,177.39,168.01,189.06,180.98,186.47,168.28,135.04,165.43,173.33,201.71,171.29,185.02,179.33,192.29,149.29,192.73,189.84,193.06,188.49,162.02,181.39,178.91,170.84,174.25,184.27,178.51,192.14,175.12,197.12,177.55,172.06,171.19,169.93,207.12,165.87,194.03,155.27,172.86,179.82,168.44,168.46,209.17,181.21,186.73,190.16,161.12,156.68,168.44,183.38,192.46,167.21,180.91,162.98,194.29,173.03,207.56
25,Doi Inthanon,168.65,160.94,171.17,159.44,166.92,167.37,152.56,156.62,157.23,160.51,169.48,155.04,156.52,165.1,161.4,152.18,159.82,164.59,156.83,170.71,165,157.6,159.99,161.05,169.35,165.93,166.17,157.83,159.38,166.15,162.23,156.18,159.42,155.32,163.55,156.13,154.32,164.76,158.33,160.28,156.37,148.93,147.45,164.98,152.06,158.89,151.22,151.52,165.16,166.84,163.31,168.55,150.95,160.42,163.92,160.38,168.1,166.83,161.03,155.06,169.02,155.73
26,Huai Kha Khaeng,160.21,165.41,169.92,148.66,149.41,152.38,151.7,153.6,152.56,147.32,162.5,152.09,163.85,159.75,152.77,155.37,147.05,153.66,154.36,159.81,153.03,147.62,147.16,149.66,153.29,157.5,147.79,153.95,141.12,160.16,160.1,152.35,148.01,152.31,156.55,148.64,146.64,154.75,156.51,162.59,145.75,139.81,134.29,159.05,154.2,153.73,147.53,144.67,157.56,159.35,155.6,151.47,149.66,156.64,154.8,160.44,161.25,166.27,160.73,150.92,166.78,154.32
27,Khao Chong,175.16,174.44,177.28,190.02,172.93,196.1,169.18,166.57,183.64,177.82,186.18,170.88,156.02,159.18,181.8,187.61,170.15,180.67,176.51,171.25,163.91,170.77,182.64,161.98,186.96,165.47,172.22,174.79,166.08,175.59,162.1,183.32,158.98,166.65,176.63,175.03,141.9,174.05,171.65,167.35,159.31,145.02,171.98,176.99,170.27,179.85,162.97,177.69,196.1,184.68,194.28,169.93,180.98,169.07,197.53,193.76,175.34,171.94,176.49,174.32,176.99,177.76
28,Mo Singto,139.44,146.34,145.41,141.21,132.72,146.56,132.54,136.42,139.53,144.35,152.55,148.76,149.48,148.65,142.28,149.63,136.12,138.9,140.64,144.43,143.43,139.4,134.26,135.28,147.44,147.79,131.43,147.85,135.03,146.1,138.09,143.87,136,142.3,141.87,138.9,138.27,140.73,146.58,140.71,137.82,128.95,122.91,138.25,141.88,133.79,139.64,142.19,146.89,158.53,140.86,144.96,139.11,143.92,141.83,144.51,142.79,145.45,148.58,137.23,154.58,132.59
29,Haliburton Forest,142.91,128.71,134.97,170.54,140.15,155.64,147.98,152.24,177.72,160.04,144.23,159.8,156.41,153.1,159.95,153.24,168.18,155.56,152.08,161.08,165.9,180.5,171.22,160.18,144.67,158.76,161.36,150.92,163.45,173.5,170.03,181.41,168.73,182.95,190.89,181.02,164.99,193.43,170.12,186.89,174.78,172.01,167.37,164.41,176.06,181.58,186.35,155.54,173.59,183.65,172.79,161.45,162.13,158.34,145.89,179.94,169.62,182.44,166.84,159.85,166.82,147.91
30,Scotty Creek ,102.89,90.58,93.09,100.06,100.98,121.13,114.41,112.77,115.3,140.78,109.13,134.43,115.46,124.97,107.5,123.47,109.93,121.36,115.49,128.8,107.49,131.73,128.97,141.43,122.48,96.15,109.74,110.42,109.03,102.96,109.89,120.17,122.93,120.76,131.19,125.06,108.45,126.69,121.88,91.64,99.14,90.68,97.98,93.91,86.25,94,99.01,75.56,90.31,84.52,94.12,97.2,94.45,90.92,80.92,87.67,100.1,87.96,92.99,84.13,87.9,93.24
31,Harvard Forest,141.9,132.38,139.02,145.64,130.16,136.52,123.04,149.1,141.15,133.96,136.28,129.9,119.11,125.2,107.53,123.87,135.67,132.4,135.97,129.53,128.79,147.74,143.12,131.5,141.03,131,138.69,127.46,134.03,117.52,126.16,133.75,151.83,141.32,128.21,138.73,131.02,120.66,133.64,142.06,132.06,133.27,132.57,138.59,132.49,148.3,130.11,135.76,131.08,146.41,116.16,139.09,142.13,131.75,140.04,138.94,133.08,148.11,141.1,127.8,149.25,132.82
