Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
31,Harvard Forest,2.1417,2.35,2.7667,2.275,2.4667,1.3583,1.8333,1.4167,2.5,1.3917,1.175,0.6,0.2,0.825,0.89167,1.175,1.4917,1.45,2.3083,1.525,1.6,1.3917,3.7,2.5333,3.5417,1.475,2.075,1,2.7417,1.35,1.8667,1.1917,2.4417,2.3583,2.05,2.1417,1.825,1.9917,1.5667,3.225,2.7833,1.2833,1.4667,1.325,2.0083,2.3917,2.1667,3.8583,2.925,2.0917,2.275,2.9083,1.9167,2.45,2.375,3.6833,2.375,2.5083,2.1833,3.7333,3.3083,4.2917
32,Lilly Dickey Woods,4.7667,5.9333,5.9,6.2833,5.4,5.775,5.7,4.2333,5.6583,4.6167,4.7083,4.6667,3.6333,5.1417,5.475,4.7583,4.9917,5.1917,4.9333,5.175,5.425,5.075,6.5583,5.5417,5.95,3.9417,5.3,4.2333,4.3917,5.025,5.3083,5.35,6.1083,5.9667,5.4917,6.2583,6.3333,4.8333,5,6.5583,7.1583,5.975,5.7417,5.7333,5.5083,4.9917,5.4083,8.0083,6.625,5.925,6.8083,6.9917,5.7417,6.725,6.7583,7.1583,7.2417,6.0667,6.4833,7.025,7.5667,7.925
33,Santa Cruz,8.8917,8.7,8.4833,8.4833,8.0333,8.475,9.725,10.492,9.6167,9.2083,9.0833,8.625,9.0917,8.5417,8.975,8.875,9.2583,8.975,9.3167,9.3917,8.3667,9.3583,9.2917,8.9667,8.3167,8.8167,9.1,9.4833,9.7,9.4583,9.7333,9.2583,10.683,9.675,9.2917,10.225,10.308,9.8,9.3917,9.6583,9.7417,11.083,10.45,9.6667,10.817,10.65,11.067,10.117,9.3083,10.458,10.133,10.25,10.733,10.95,10.75,10.183,10.067,9.9333,10.267,10.75,9.7417,10.025
34,SCBI,5.9583,6.625,6.6833,6.225,6.2,6.5167,6.6417,5.125,5.65,4.3083,6.05,5.6083,4.9,5.8083,5.7583,5.1167,5.0583,5.2167,5.325,5.55,6.2333,6.0583,6.875,6.35,6.65,5.3083,6.2417,5.375,6.1833,6.0333,5.6917,6.1417,6.025,6.45,6.3917,5.4833,6.325,5.2083,5.5333,6.8167,6.7667,6.4833,5.8833,5.9417,6.3833,5.9,4.4417,6.3667,5.175,4.9833,6.5917,7.0333,6.3583,7.05,7.1167,7.4833,7.1667,6.8917,6.8417,5.8833,6.5417,6.7417
35,SERC,8.5167,9.25,9.5,8.9417,9.05,8.9083,9.0417,7.8583,8.975,7.725,8.1333,7.9,7.65,8.5167,8.1833,8.0667,7.9667,8.35,8.6083,8.5,8.2417,8.2167,9.4333,9.075,8.8333,7.6,8.6583,7.3833,8.1167,8.175,8,8.4083,8.375,8.725,8.9917,9.05,8.925,8.075,8.375,9.7417,9.5917,8.3917,8.525,8.9917,9.275,8.8667,7.8333,9.5667,8.7167,8.0667,8.4417,8.9333,8.2167,8.9583,8.8667,9.4583,9.0667,8.8,8.6333,9.3667,9.875,10.375
36,Tyson Research Center,6.2917,7.175,7.7417,8.05,7.2083,7.2333,7.375,6.3833,7.3333,6.575,6.2917,6.8167,6.1917,7.2583,7.475,6.3833,6.9667,6.8833,6.875,7.1833,7.5833,7.0333,8.175,7.1917,7.6833,6.075,7.5667,6.575,6.075,7.425,7.3833,6.6833,7.5,7.65,7.0083,8.15,8.3333,6.7333,6.4833,8.6333,8.9667,8.075,7.5083,8.0917,7.85,6.7583,6.8,8.9917,8.0333,7.275,8.1,8.075,7.475,8.1333,8.3083,8.35,8.4417,6.8583,7.6,8.1333,8.5167,9.2917
37,Wabikon Lake Forest,-2.4417,-1.1833,-0.58333,-1.75,-2.3083,-2.8583,-3.1083,-3.1917,-2.9333,-2.9833,-2.675,-2.8833,-3.2417,-2.6333,-2.9,-2.8833,-3.85,-2.1583,-3.2083,-3,-3.0917,-4.15,-1.1333,-3.0333,-2.5417,-4.1333,-2.1,-3.4917,-3.2083,-2.8167,-2.175,-3.0833,-1.5083,-2.1417,-3.2167,-2.4333,-1.1667,-2.875,-4.325,-2.275,-2.1417,-2.675,-3.0333,-2.6083,-2.2167,-3.6917,-2.5333,0.11667,-1.3417,-2.7917,-0.69167,-1.4833,-2.5833,-2.2,-1.4083,-0.525,-1.7833,-3.0833,-3.0333,-1.0917,-1.6583,-0.1
38,Wind River,1.2,1.6167,2.6667,1.625,1.325,1.6833,1.7,3.825,2.4083,2.0833,2.7,2.2083,2.65,1.675,2.6083,2.65,3.2167,2.7417,2.325,2.3083,2.025,1.8417,2.575,2.3417,2.2917,2.0417,2.4667,2.3417,2.4333,2.6083,3.0667,2.0333,2.95,2.4167,1.2667,3.15,2.875,2.6917,2.55,2.9833,3.0417,3.8583,2.05,2.9833,3.45,2.3083,3.3167,3.6917,2.8667,2.6167,2.6333,2.7833,3.6667,3.8083,2.8417,3.1167,2.7583,2.4417,2.65,3.1083,2.2583,3.075
39,Yosemite National Park,0.53333,0.325,0.29167,0.78333,-0.05,0.35,0.70833,1.2417,0.84167,0.69167,1.225,0.40833,0.725,0.53333,0.575,1.1417,1.075,0.85,0.84167,1.4833,0.26667,0.98333,1.3167,1.4,0.46667,0.34167,1.3417,1.675,1.25,1.8667,2.2333,0.575,1.075,1.5917,1.0917,1.6667,1.975,1.8833,1.0333,0.95833,1.7333,2.3583,1.5167,1.5833,2.3583,3,2.6583,2.3333,2.025,2.5833,2.9917,2.8917,3.8583,3.6417,3.9,3.3667,3.175,3.5,3.25,3.325,2.7,3.8417
40,Ilha do Cardoso,15.083,15.858,15.775,16.05,15.692,15.867,16.325,17.033,17.25,16.35,17.192,15.575,16.792,15.833,16.517,16.558,16.675,15.483,16.317,16.467,16.108,16.467,16.858,16.1,16.117,15.925,17.317,16.425,15.783,16.375,16.367,16.667,17.05,17.242,16.958,17.325,16.792,16.592,16.667,17.233,17.05,16.958,16.558,16.975,17.4,17.233,17.358,17.333,16.767,16.975,17.842,18.225,17.608,16.967,17.717,17.558,17.717,17.033,17.642,17.5,17.175,17.983
