Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
21,Kenting,6.2083,6.3,5.775,6.1583,6.6333,6.1417,6.2917,6.6667,7.2083,6.4667,6.675,6.4833,6.5083,5.95,6.3917,6.4917,6.2167,6.5083,6.9417,6.3833,6.5083,6.6333,6.7917,7.0333,6.9083,6.75,6.8333,6.8,7.4833,7.075,6.9583,7.1417,7.7333,7.925,7.55,7.3333,7.5833,6.7,6.9583,6.725,7.2417,7.5833,7.6417,7.3917,6.875,6.7,6.9083,6.725,7.2333,6.8,6.5583,6.7417,7,6.8083,7.0417,7.2417,6.8417,6.9083,6.65,6.7667,6.35,6.2833
22,Lienhuachih,6.2917,6.25,5.8917,6.2917,6.5417,6.1,6.05,6.275,6.5333,6.275,6.325,6.4667,6.7333,6.1667,6.2917,6.5083,6.275,6.5083,6.9,6.5917,6.6667,6.6917,6.5833,6.8167,6.6083,6.5917,6.75,6.5333,7.0167,6.825,6.95,6.9417,7.1917,7.0583,7.0083,6.8917,7.0917,6.425,6.6,6.6083,6.775,6.9833,6.9333,6.6667,6.5167,6.55,6.6667,6.4667,6.6417,6.5417,6.4667,6.5333,6.65,6.7083,6.65,6.7583,6.6167,6.7333,6.6167,6.5167,6.2917,6.1
23,Nanjenshan,7.4583,7.4833,7.05,7.4417,7.875,7.375,7.475,7.8,8.2833,7.6417,7.7917,7.6833,7.8,7.2417,7.5917,7.7167,7.4583,7.7583,8.1833,7.6833,7.7833,7.9167,7.975,8.25,8.0833,7.9667,8.05,8,8.6167,8.2583,8.2,8.3417,8.875,8.975,8.675,8.475,8.7083,7.8833,8.1083,7.925,8.375,8.6833,8.7167,8.4417,8.0167,7.9167,8.1083,7.9,8.3417,7.9917,7.8083,7.95,8.1583,8.0167,8.175,8.3667,8.025,8.1167,7.9,7.9583,7.5917,7.475
24,Zenlun,6.625,6.5667,6.2417,6.675,6.9583,6.5167,6.4667,6.6833,7.0583,6.65,6.7083,6.7917,7.0167,6.4167,6.6333,6.8333,6.575,6.9083,7.3333,6.9333,6.9833,7.1083,7.0417,7.2833,7.0667,7.025,7.1583,6.9667,7.5667,7.275,7.3667,7.4,7.8167,7.6667,7.5917,7.4,7.625,6.8333,7.05,7.0583,7.275,7.525,7.4917,7.2167,6.975,6.9583,7.1333,6.9417,7.1833,7.0083,6.875,6.9667,7.1333,7.1167,7.1333,7.25,7.05,7.1583,7,6.975,6.7,6.525
25,Doi Inthanon,12,11.675,11.608,12.742,12.958,12.992,13.458,13.125,12.975,12.083,11.683,12.408,12.575,12.508,12.425,12.458,12.517,12.842,13.025,12.042,12.508,12.408,12.533,12.567,11.35,12.083,11.242,11.833,12.292,12.033,11.608,12.467,12.65,12.142,12.233,12.633,12.367,12.658,12.933,12.742,12.583,12.625,12.858,12.5,12.617,12.1,12.842,13.733,11.742,12.017,11.517,11.258,11.442,11.85,12.292,12.45,11.775,11.225,11.65,11.875,11.15,11.625
26,Huai Kha Khaeng,12.292,12.525,11.892,12.658,12.442,12.183,12.775,12.542,12.35,12.183,11.567,12.775,12.283,11.975,12.125,11.725,12.033,12.433,12.383,11.908,12,11.683,12.067,11.817,11.325,12.125,12.2,11.908,12.708,12.067,11.675,12.192,12.558,11.9,11.875,12.375,12.308,12.1,12.658,12.35,12.55,12.575,12.558,12.05,12.192,11.942,12.425,12.6,11.3,11.833,11.567,11.492,12.267,12.508,11.592,11.992,11.958,11.317,11.408,11.258,11.133,11.167
27,Khao Chong,9.825,9.475,9.1667,9.5833,9.8417,9.7083,9.65,10.242,9.3417,9.1333,9.05,9.225,9.7167,9.4583,9.2167,9.2583,9.3083,9.9833,9.4417,8.9,9.2833,9.6667,9.2333,9.5083,8.6667,9.4333,9.3917,9.15,9.4417,9.325,9.7417,9.7917,10.008,9.575,9.8917,9.6583,10.075,9.3167,9.55,9.9,9.8917,10.117,10.017,9.6667,10.083,9.5667,9.9583,9.8083,8.825,9.0083,8.9,9.1083,8.8833,9.025,8.9917,9,8.9833,8.8667,9.325,9.0667,8.8167,9.275
28,Mo Singto,10.608,10.483,10.417,10.942,11.183,10.808,10.867,10.417,10.683,10.767,10.175,10.75,10.7,10.658,10.375,10.033,10.308,10.45,10.05,10.242,10.492,10.117,10.125,9.8667,9.7583,10.3,10.4,9.9167,10.467,9.9833,9.7333,9.8583,9.9083,9.9667,9.8833,10.142,10.442,9.9833,10.742,10.4,10.4,10.425,10.283,10.267,10.408,10.625,11.142,10.8,10.433,10.608,9.3083,9.5667,9.8083,10.033,9.4333,9.5417,9.875,9.3667,9.8,9.325,9.1417,9.2333
29,Haliburton Forest,12.35,12.058,11.925,11.733,12.825,12.225,12.425,12.592,12.7,12.842,11.842,12.558,12.9,12.108,11.825,11.592,11.442,11.592,11.683,11.792,11.95,11.375,10.717,10.967,11.633,12.05,11.167,11.933,10.925,11.308,11.025,11.658,11.383,10.925,11.075,11.008,11.783,11.983,13.058,11.858,12.333,11.75,11.45,11.858,11.383,10.725,11.475,11.533,12.567,12.058,11.825,11.717,12.033,11.508,11.767,10.958,11.675,11.467,11.417,10.933,11.683,11.575
30,Scotty Creek ,11.225,10.6,10.317,11.358,11.317,10.683,10.942,10.058,10.65,10.067,10.825,10.892,11.55,11.667,11.65,12.125,12.608,11.65,11.717,11.2,12.658,12.492,12.575,11.817,12.05,11.733,11.767,11.425,11.417,11.575,11.083,11.533,10.925,10.933,11.25,11.108,11.3,10.65,11.733,11.2,11.267,10.533,11.1,11.542,11.433,11.183,11.2,10.833,10.642,11.217,10.725,11.017,10.7,11.425,10.842,11.042,10.533,11.233,11.183,10.558,11.308,11.283
