"Description: ","Dates where precipitation > 200 mm or abs(temperature) > 50 degrees."
"Station: ","SCBI_mettower_data_sensor1"
"Latitude: ","30"
"Longitude: ","78"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-09-14"
Date,Prec,TX,TN
2018-2-13,NA,-1.424764,-60.539
2018-2-15,NA,26.54342,-71.21629
2018-2-18,NA,7.22671,-70.81009
2018-2-19,NA,13.54414,-66.68607
2018-2-20,NA,11.63465,-70.93352
2018-2-21,NA,18.37241,-70.41762
2018-2-24,NA,9.13251,-68.67891
2018-2-25,NA,11.18353,-67.42967
2018-2-26,NA,9.454605,-65.63168
2018-2-27,NA,14.08288,-71.68478
2018-2-28,NA,15.19701,-70.9557
2018-3-3,NA,9.179209,-68.30791
2018-3-4,NA,11.09625,-70.43004
2018-3-18,NA,14.56216,-62.67699
2018-3-29,NA,24.14215,-68.8733
2018-3-30,NA,21.1229,-70.58594
2018-3-31,NA,16.53135,-70.90931
2018-4-1,NA,17.1974,-68.19966
2018-4-4,NA,17.08516,-55.14586
2018-4-6,NA,19.319,-69.40101
2018-4-12,NA,24.55735,-67.25063
2018-4-13,NA,28.57057,-67.56451
2018-4-14,NA,27.50113,-69.30595
2018-4-26,NA,21.37555,-67.89653
2018-4-28,NA,22.82958,-70.1126
2018-4-30,NA,21.82096,-61.06014
2018-5-1,NA,28.4237,-59.90639
2018-5-11,NA,25.79239,-63.82838
2018-5-12,NA,31.66445,-67.35074
2018-5-13,NA,25.44447,-68.35164
2018-5-14,NA,19.76599,-69.97858
2018-5-15,NA,22.80965,-70.87553
2018-5-18,NA,18.66629,-61.62835
2018-5-19,NA,13.47503,-61.84601
2018-5-20,NA,29.30945,-66.89801
2018-5-21,NA,23.00935,-70.45163
2018-5-22,NA,22.7547,-69.57313
2018-5-23,NA,26.3469,-67.91981
2018-5-24,NA,18.57339,-71.01453
2018-5-25,NA,13.75454,-70.95547
2018-5-26,NA,19.92,-71.00745
2018-5-27,NA,-4.728406,-69.57993
2018-5-28,NA,-39.12777,-65.51738
2018-5-29,NA,25.76154,-64.77692
2018-5-30,NA,23.56665,-57.75502
2018-5-31,NA,23.41186,-66.56418
2018-6-1,NA,25.74607,-68.01236
2018-6-2,NA,24.8477,-65.29691
