Year,Month,Precipitation (mm),Precipitation Source,Temperature (¡C),Temperature Source
1998,4,70.5,ACP,26.6,PNM
1998,5,323.5,ACP,27.7,ACP
1998,6,265.6,ACP,27.1,ACP
1998,7,210.2,ACP,26.6,ACP
1998,8,177.5,ACP,26.3,ACP
1998,9,71,PNM,26.2,PNM
1998,10,158.4,PNM,26.1,PNM
1998,11,211.1,PNM,25.6,PNM
1998,12,222.9,PNM,25.4,PNM
1999,1,57.6,PNM,26,PNM
1999,2,33.7,PNM,25.7,PNM
1999,3,87.2,PNM,26.2,PNM
1999,4,69.8,PNM,26.5,PNM
1999,5,187.3,PNM,26,PNM
1999,6,189.3,PNM,25.6,PNM
1999,7,115.4,PNM,25.6,PNM
1999,8,133.4,ACP,25.8,ACP
1999,9,182.3,PNM,25.4,PNM
1999,10,258.6,PNM,25.3,PNM
1999,11,297.7,PNM,25.3,PNM
1999,12,222.9,PNM,25.4,PNM
2000,1,19.5,PNM,25.2,PNM
2000,2,44,PNM,25.6,PNM
2000,3,7.5,PNM,25.9,PNM
2000,4,90.6,PNM,26.3,PNM
2000,5,135,PNM,25.9,PNM
2000,6,251.2,PNM,25.8,PNM
2000,7,231.3,PNM,25.7,PNM
2000,8,118.2,PNM,25.6,PNM
2000,9,214.7,PNM,25.2,PNM
2000,10,276.9,PNM,25.2,PNM
2000,11,191.3,PNM,25.4,PNM
2000,12,146.3,PNM,25.2,PNM
2001,1,23.5,PNM,25.5,PNM
2001,2,0.4,PNM,25.8,PNM
2001,3,1.1,PNM,26,PNM
2001,4,54.1,ACP,27.8,ACP
2001,5,234.5,PNM,26,PNM
2001,6,203.9,ACP,26.1,PNM
2001,7,125.9,ACP,25.5,PNM
2001,8,74.3,ACP,26.4,PNM
2001,9,249.2,ACP,25.4,PNM
2001,10,241.7,ACP,25.5,PNM
2001,11,236.6,ACP,24.4,PNM
2001,12,225.3,ACP,24.8,PNM
2002,1,100.9,PNM,25.8,PNM
2002,2,0,ACP,26.1,PNM
2002,3,22.8,PNM,26.4,PNM
2002,4,117.4,PNM,26,PNM
2002,5,96.2,PNM,26.1,PNM
2002,6,136.6,PNM,25.4,PNM
2002,7,197.6,PNM,25.3,PNM
2002,8,197.4,PNM,25.3,PNM
2002,9,137.7,PNM,25.4,PNM
2002,10,281.3,PNM,25,PNM
2002,11,210.7,PNM,25.2,PNM
2002,12,34.8,PNM,26.2,PNM
2003,1,0,PNM,26.4,PNM
2003,2,21.7,PNM,27.2,PNM
2003,3,8.9,PNM,26.9,PNM
2003,4,178.7,ACP,28.3,PNM
2003,5,198.9,ACP,26.7,ACP
2003,6,147.2,PNM,26.8,ACP
2003,7,135.9,PNM,27.1,ACP
2003,8,125.3,PNM,26.8,ACP
2003,9,103.6,PNM,26.8,ACP
2003,10,219.6,PNM,25.2,PNM
2003,11,223,PNM,25.2,PNM
2003,12,152,PNM,25.6,PNM
2004,1,4.4,PNM,25.9,PNM
2004,2,0,PNM,26.5,PNM
2004,3,11.6,PNM,27.1,PNM
2004,4,79.9,PNM,27.9,ACP
2004,5,177,PNM,27.2,ACP
2004,6,281.4,PNM,27.1,ACP
2004,7,232.9,ACP,26.7,ACP
2004,8,172.4,ACP,26.8,ACP
2004,9,337.3,ACP,27.1,ACP
2004,10,347.4,ACP,26.8,ACP
2004,11,220.3,ACP,26.7,ACP
2004,12,27.4,PNM,25.6,PNM
2005,1,35.5,PNM,25.7,PNM
2005,2,0,PNM,26.2,PNM
2005,3,11,PNM,26.5,PNM
2005,4,68.7,PNM,26.7,PNM
2005,5,182.3,PNM,25.1,PNM
2005,6,172.1,PNM,24.5,PNM
2005,7,202.7,PNM,24.7,PNM
2005,8,192.3,PNM,24,PNM
2005,9,391.5,ACP,23.9,PNM
2005,10,69.2,ACP,26.8,ACP
2005,11,105.7,ACP,26.5,ACP
2005,12,98.2,ACP,25.6,PNM
