"year","sites.sitename","emission_units","emission_type","value"
"1893","New_Mexico","kg m-2 s-1","SO2",1.66436521681871e-10
"1894","New_Mexico","kg m-2 s-1","SO2",1.56269653986609e-10
"1895","New_Mexico","kg m-2 s-1","SO2",1.75206308231392e-10
"1896","New_Mexico","kg m-2 s-1","SO2",1.81727316057384e-10
"1897","New_Mexico","kg m-2 s-1","SO2",1.9480428276354e-10
"1898","New_Mexico","kg m-2 s-1","SO2",2.17749573017548e-10
"1899","New_Mexico","kg m-2 s-1","SO2",2.54283358657034e-10
"1900","New_Mexico","kg m-2 s-1","SO2",2.7769248789674e-10
"1901","New_Mexico","kg m-2 s-1","SO2",3.08919706105132e-10
"1902","New_Mexico","kg m-2 s-1","SO2",3.33263215147806e-10
"1903","New_Mexico","kg m-2 s-1","SO2",3.93255324370441e-10
"1904","New_Mexico","kg m-2 s-1","SO2",3.98181987929939e-10
"1905","New_Mexico","kg m-2 s-1","SO2",4.52746594902304e-10
"1906","New_Mexico","kg m-2 s-1","SO2",4.84689899991965e-10
"1907","New_Mexico","kg m-2 s-1","SO2",5.57153575835175e-10
"1908","New_Mexico","kg m-2 s-1","SO2",4.90893934639908e-10
"1909","New_Mexico","kg m-2 s-1","SO2",5.570574457654e-10
"1910","New_Mexico","kg m-2 s-1","SO2",6.0677106002175e-10
"1911","New_Mexico","kg m-2 s-1","SO2",5.76086193078526e-10
"1912","New_Mexico","kg m-2 s-1","SO2",5.96815510449826e-10
"1913","New_Mexico","kg m-2 s-1","SO2",6.10001604769885e-10
"1914","New_Mexico","kg m-2 s-1","SO2",5.31547080865195e-10
"1915","New_Mexico","kg m-2 s-1","SO2",5.35917890228229e-10
"1916","New_Mexico","kg m-2 s-1","SO2",6.12055784966866e-10
"1917","New_Mexico","kg m-2 s-1","SO2",6.64426777363821e-10
"1918","New_Mexico","kg m-2 s-1","SO2",6.83139889826939e-10
"1919","New_Mexico","kg m-2 s-1","SO2",5.54276279594765e-10
"1920","New_Mexico","kg m-2 s-1","SO2",6.24428779016345e-10
"1921","New_Mexico","kg m-2 s-1","SO2",4.63138094003445e-10
"1922","New_Mexico","kg m-2 s-1","SO2",4.62657805050813e-10
