STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960405,0,-9999,0,94,6,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960406,0,-9999,0,61,-17,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960407,0,-9999,0,78,-39,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960408,15,0,0,94,-33,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960409,0,0,0,33,0,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960410,0,0,0,94,-6,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960411,0,0,0,217,67,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960412,0,0,0,306,106,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960413,0,0,0,267,100,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960414,0,0,0,194,56,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960415,107,0,0,94,56,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960416,0,0,0,122,33,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960417,0,0,0,144,22,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960418,0,0,0,239,11,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960419,0,0,0,261,128,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960420,0,0,0,261,144,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960421,0,0,0,250,117,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960422,0,0,0,306,122,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960423,5,0,0,289,50,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960424,0,0,0,178,50,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960425,0,0,0,250,122,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960426,5,0,0,200,78,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960427,0,0,0,161,50,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960428,0,0,0,222,78,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960429,10,0,0,294,167,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960430,84,0,0,206,39,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960501,10,0,0,206,28,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960502,8,0,0,228,67,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960503,0,0,0,261,72,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960504,318,0,0,261,139,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960505,208,0,0,189,139,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960506,0,0,0,217,83,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960507,56,0,0,94,78,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960508,127,0,0,172,89,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960509,5,0,0,172,128,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960510,0,0,0,250,133,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960511,152,0,0,294,89,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960512,0,0,0,133,28,,,
